,cell,epoch,agent,train_nlp_rnn,test_acc_rnn,test_nlp_rnn
0,5,100,0,0.6925543785095215,0.6200000047683716,0.6839710474014282
1,5,100,0,0.69270034968853,0.6050000190734863,0.6778067946434021
2,5,100,0,0.6874050414562225,0.5299999713897705,0.6943274736404419
3,5,100,0,0.71341816842556,0.5,0.6881116628646851
4,5,100,0,0.6876897573471069,0.574999988079071,0.6827045679092407
5,5,100,1,0.678768225312233,0.6700000166893005,0.6502174139022827
6,5,100,1,0.697278915643692,0.6050000190734863,0.6806960105895996
7,5,100,1,0.7313251924514771,0.45500001311302185,0.696422278881073
8,5,100,1,0.6786391681432724,0.6800000071525574,0.6663959622383118
9,5,100,1,0.6770836758613586,0.7300000190734863,0.6484382748603821
10,5,100,2,0.6485187935829163,0.6850000023841858,0.6207229495048523
11,5,100,2,0.6719321888685227,0.6399999856948853,0.6507337093353271
12,5,100,2,0.6790106642246246,0.6650000214576721,0.638140082359314
13,5,100,2,0.730927506685257,0.6800000071525574,0.6544908285140991
14,5,100,2,0.6494412964582443,0.6100000143051147,0.663594663143158
15,5,100,3,0.6313781243562698,0.6499999761581421,0.6488745808601379
16,5,100,3,0.6940479642152786,0.7300000190734863,0.6002161502838135
17,5,100,3,0.6330871522426605,0.6050000190734863,0.6867198944091797
18,5,100,3,0.636310738325119,0.7350000143051147,0.5881354808807373
19,5,100,3,0.7401367878913879,0.5649999976158142,0.6875981092453003
20,5,100,4,0.7094213473796844,0.8199999928474426,0.6801981329917908
21,5,100,4,0.6524152237176896,0.7250000238418579,0.6231200695037842
22,5,100,4,0.680352486371994,0.5799999833106995,0.6778382658958435
23,5,100,4,0.6590264701843261,0.675000011920929,0.64361172914505
24,5,100,4,0.6507020318508148,0.7599999904632568,0.6001833081245422
25,5,100,5,0.731282731294632,0.5400000214576721,0.6918677687644958
26,5,100,5,0.6839927142858505,0.6549999713897705,0.6625552177429199
27,5,100,5,0.6830726885795593,0.6650000214576721,0.6600102782249451
28,5,100,5,0.6972867381572724,0.6449999809265137,0.6712123155593872
29,5,100,5,0.7003789049386978,0.5049999952316284,0.6906092166900635
30,5,100,6,0.6377639359235764,0.6600000262260437,0.6094458699226379
31,5,100,6,0.6943176382780075,0.5849999785423279,0.6757820844650269
32,5,100,6,0.6706761848926545,0.550000011920929,0.6645470261573792
33,5,100,6,0.7668252855539321,0.5149999856948853,0.6964542865753174
34,5,100,6,0.6783414971828461,0.625,0.6573642492294312
35,5,100,7,0.6484920233488083,0.6800000071525574,0.6307319402694702
