,cell,epoch,agent,train_nlp_rnn,test_acc_rnn,test_nlp_rnn
0,5,100,0,0.5994614869356155,0.800000011920929,0.5362812280654907
1,5,100,0,0.6265392887592316,0.8100000023841858,0.5388636589050293
2,5,100,0,0.6885713809728622,0.824999988079071,0.6363893151283264
3,5,100,0,0.6974058425426484,0.8199999928474426,0.6400555968284607
4,5,100,0,0.5873139727115632,0.824999988079071,0.5251212120056152
5,5,100,1,0.6829833042621613,0.5249999761581421,0.6986774206161499
6,5,100,1,0.6995842355489731,0.5299999713897705,0.6898055076599121
7,5,100,1,0.6945920699834823,0.4749999940395355,0.697541356086731
8,5,100,1,0.6906078964471817,0.47999998927116394,0.6943800449371338
9,5,100,1,0.6873857980966568,0.5049999952316284,0.6982035040855408
10,5,100,2,0.6832528132200241,0.7149999737739563,0.5938581228256226
11,5,100,2,0.6174462080001831,0.26499998569488525,0.9440637230873108
12,5,100,2,0.6892811447381973,0.6050000190734863,0.6795402765274048
13,5,100,2,0.6875691425800323,0.6449999809265137,0.6437495946884155
14,5,100,2,0.6337983632087707,0.800000011920929,0.4980789124965668
15,5,100,3,0.7417283421754837,0.7599999904632568,0.6432035565376282
16,5,100,3,0.6145690327882767,0.75,0.5559158325195312
17,5,100,3,0.5994609117507934,0.8050000071525574,0.5452602505683899
18,5,100,3,0.6650856977701187,0.5400000214576721,0.6657612323760986
19,5,100,3,0.6450964498519898,0.7300000190734863,0.5806272029876709
20,5,100,4,0.7028310114145279,0.4300000071525574,0.7041641473770142
21,5,100,4,0.7163665533065796,0.5099999904632568,0.6898705363273621
22,5,100,4,0.6946702980995179,0.5149999856948853,0.6909365653991699
23,5,100,4,0.6953745567798615,0.5,0.6948334574699402
24,5,100,4,0.6992498064041137,0.48500001430511475,0.6942920684814453
25,5,100,5,0.6136384642124176,0.7149999737739563,0.5940611362457275
26,5,100,5,0.5977834433317184,0.8149999976158142,0.4850292205810547
27,5,100,5,0.6358562022447586,0.7699999809265137,0.5601604580879211
28,5,100,5,0.6435112589597702,0.7950000166893005,0.5472314953804016
29,5,100,5,0.6725177639722824,0.7749999761581421,0.6061238050460815
30,5,100,6,0.63800523519516,0.8050000071525574,0.5768076777458191
31,5,100,6,0.79649447619915,0.4749999940395355,0.727469801902771
32,5,100,6,0.6579205077886582,0.800000011920929,0.5683755278587341
33,5,100,6,0.7103183150291443,0.6899999976158142,0.6692923903465271
34,5,100,6,0.5877871704101563,0.7300000190734863,0.580661416053772
35,5,100,7,0.6469014102220535,0.7300000190734863,0.5794277191162109
36,5,100,7,0.6417073225975036,0.6299999952316284,0.6564929485321045
37,5,100,7,0.6495507991313935,0.8100000023841858,0.5613269805908203
38,5,100,7,0.6728860449790954,0.7599999904632568,0.5922641158103943
39,5,100,7,0.6588883715867996,0.7549999952316284,0.6114019751548767
40,5,100,8,0.5481503340601921,0.6600000262260437,0.6234869956970215
41,5,100,8,0.681891746520996,0.3799999952316284,0.6962723731994629
42,5,100,8,0.6604443979263306,0.8450000286102295,0.5802551507949829
43,5,100,8,0.6550497621297836,0.7599999904632568,0.5799604058265686
44,5,100,8,0.5830940973758697,0.7599999904632568,0.5455226302146912
45,5,100,9,0.6509113395214081,0.8299999833106995,0.5607641935348511
46,5,100,9,0.5524137914180756,0.8650000095367432,0.4289627969264984
47,5,100,9,0.6473214316368103,0.8450000286102295,0.5759662389755249
48,5,100,9,0.6298895174264908,0.9049999713897705,0.5180141925811768
49,5,100,9,0.6005142259597779,0.7649999856948853,0.572649359703064
50,5,100,10,0.6619749480485916,0.8650000095367432,0.5877282619476318
51,5,100,10,0.657960250377655,0.875,0.5907641649246216
52,5,100,10,0.5932770046591759,0.7799999713897705,0.5436225533485413
53,5,100,10,0.6227939826250076,0.8100000023841858,0.5373022556304932
54,5,100,10,0.6085616743564606,0.9100000262260437,0.46126097440719604
55,5,100,11,0.6467986482381821,0.699999988079071,0.6155988574028015
56,5,100,11,0.6440037405490875,0.6349999904632568,0.6423936486244202
57,5,100,11,0.6583419281244278,0.6299999952316284,0.6518584489822388
58,5,100,11,0.6488321942090988,0.75,0.5912674069404602
59,5,100,11,0.6776640117168427,0.7699999809265137,0.5884143710136414
60,5,100,12,0.7288946622610092,0.5699999928474426,0.687166690826416
61,5,100,12,0.6784825366735459,0.47999998927116394,0.692457914352417
62,5,100,12,0.6801820057630539,0.4399999976158142,0.7107006907463074
63,5,100,12,0.6465669751167298,0.8199999928474426,0.5236304998397827
64,5,100,12,0.7351627540588379,0.7850000262260437,0.6131130456924438
65,5,100,13,0.6440434026718139,0.7649999856948853,0.6053639650344849
66,5,100,13,0.6180823802947998,0.8500000238418579,0.5073027014732361
67,5,100,13,0.6042356038093567,0.8149999976158142,0.5080798864364624
68,5,100,13,0.6564706629514694,0.7699999809265137,0.5650327205657959
69,5,100,13,0.6319752502441406,0.9100000262260437,0.5122755169868469
70,5,100,14,0.7654739385843277,0.7799999713897705,0.6118959784507751
71,5,100,14,0.6141117787361146,0.9049999713897705,0.4970080852508545
72,5,100,14,0.6928717893362045,0.8050000071525574,0.6190860867500305
73,5,100,14,0.7342349195480347,0.7799999713897705,0.6679790019989014
