,cell,epoch,agent,train_nlp_rnn,test_acc_rnn,test_nlp_rnn
0,5,100,0,0.6838181346654892,0.7549999952316284,0.6486098766326904
1,5,100,0,0.7015526628494263,0.6499999761581421,0.6778507232666016
2,5,100,0,0.687717142701149,0.7149999737739563,0.6670750379562378
3,5,100,0,0.6459349620342255,0.7149999737739563,0.6261943578720093
4,5,100,0,0.6826880949735642,0.6399999856948853,0.6638672351837158
5,5,100,1,0.7318418031930923,0.5,0.6962244510650635
6,5,100,1,0.6887718707323074,0.5350000262260437,0.6900840997695923
7,5,100,1,0.6959397441148758,0.5249999761581421,0.6916417479515076
8,5,100,1,0.7012393057346344,0.5249999761581421,0.6941414475440979
9,5,100,1,0.6878066039085389,0.5849999785423279,0.683292031288147
10,5,100,2,0.6799751442670822,0.6800000071525574,0.6352016925811768
11,5,100,2,0.6812816488742829,0.6449999809265137,0.6707332730293274
12,5,100,2,0.6953832888603211,0.5849999785423279,0.6899420022964478
13,5,100,2,0.6690220695734024,0.574999988079071,0.6756431460380554
14,5,100,2,0.6740572923421859,0.574999988079071,0.6676297187805176
15,5,100,3,0.6906116908788681,0.5699999928474426,0.6816902756690979
16,5,100,3,0.6927651005983353,0.574999988079071,0.686027467250824
17,5,100,3,0.6900860327482223,0.574999988079071,0.6877061724662781
18,5,100,3,0.7082044297456741,0.47999998927116394,0.6943196654319763
19,5,100,3,0.690105476975441,0.4749999940395355,0.7001944184303284
20,5,100,4,0.7006709939241409,0.699999988079071,0.6685265898704529
21,5,100,4,0.6921551507711411,0.6549999713897705,0.6698200702667236
22,5,100,4,0.6619672238826751,0.8199999928474426,0.6048774123191833
23,5,100,4,0.7730357474088669,0.4650000035762787,0.7364282011985779
24,5,100,4,0.6970233255624771,0.625,0.6716474890708923
25,5,100,5,0.6748041582107543,0.6650000214576721,0.6438823938369751
26,5,100,5,0.6836748760938645,0.5849999785423279,0.6606498956680298
27,5,100,5,0.6772702878713608,0.625,0.6501606702804565
28,5,100,5,0.6960890591144562,0.5099999904632568,0.6937772631645203
29,5,100,5,0.6835917383432388,0.5699999928474426,0.6759591698646545
30,5,100,6,0.6912220942974091,0.49000000953674316,0.6926177740097046
31,5,100,6,0.6895614463090897,0.4950000047683716,0.6954395771026611
32,5,100,6,0.6971370905637742,0.5550000071525574,0.6908546686172485
33,5,100,6,0.6898931187391281,0.4950000047683716,0.6901402473449707
34,5,100,6,0.6888809251785278,0.4699999988079071,0.7012574076652527
35,5,100,7,0.647700532078743,0.7799999713897705,0.574040949344635
36,5,100,7,0.6588611596822739,0.7450000047683716,0.6158002614974976
37,5,100,7,0.6921253508329391,0.7350000143051147,0.6446700096130371
38,5,100,7,0.6635452628135681,0.8050000071525574,0.5975162386894226
39,5,100,7,0.683352245092392,0.5099999904632568,0.6757826209068298
40,5,100,8,0.690494219660759,0.6299999952316284,0.6714785695075989
41,5,100,8,0.6960570043325425,0.6000000238418579,0.6764673590660095
