,action_stage_1,state_of_stage_2,transition_type,reward,probs,correct,delta_q
0,0.0,0.0,1,1.0,0.5,0.0,0.0
1,1.0,1.0,1,0.0,0.7187081252335784,0.0,0.5785415667434421
2,0.0,0.0,1,0.0,0.7187081252335784,0.0,0.5785415667434421
3,0.0,0.0,1,1.0,0.5688047844866396,0.0,0.1708226700957364
4,0.0,0.0,1,1.0,0.7344105949120734,0.0,0.6272975547190572
5,0.0,1.0,0,0.0,0.7750526270533168,0.0,0.7629483206784944
6,0.0,0.0,1,1.0,0.6503391903026817,0.0,0.3827065694605652
7,1.0,1.0,1,1.0,0.7597521506710991,0.0,0.7100669219412896
8,1.0,1.0,1,0.0,0.5531135222388679,0.0,0.13152535519784747
9,0.0,0.0,1,1.0,0.705648955632275,0.0,0.5392442518455531
10,0.0,1.0,0,1.0,0.7320123167394592,1.0,0.6197360508933085
11,0.0,1.0,0,1.0,0.6694206475053378,1.0,0.4351513934180543
12,0.0,0.0,1,0.0,0.6625435562593742,1.0,0.41608419923065176
13,1.0,1.0,1,1.0,0.4400664779696955,1.0,-0.14856812638330313
14,1.0,1.0,1,1.0,0.31599255980095936,1.0,-0.4762782847621494
15,1.0,1.0,1,1.0,0.2884552123023801,1.0,-0.5568545085028553
16,1.0,0.0,0,0.0,0.28190919705628403,1.0,-0.5766595849963522
17,1.0,0.0,0,0.0,0.4077072465594037,1.0,-0.2303229259924534
18,1.0,1.0,1,1.0,0.44380148547763204,1.0,-0.13922798488739646
19,0.0,0.0,1,0.0,0.29977997720055766,1.0,-0.5232096081542585
20,0.0,0.0,1,1.0,0.25764698488058946,0.0,-0.6526565737350607
21,0.0,0.0,1,1.0,0.45722056266374483,0.0,-0.10579397956693692
22,0.0,0.0,1,1.0,0.5232011436853535,0.0,0.05727751563561534
23,1.0,1.0,1,0.0,0.542112733765488,0.0,0.10413730659917841
24,0.0,0.0,1,1.0,0.7224440292928489,0.0,0.5899850968391005
25,0.0,0.0,1,0.0,0.7266895302939369,0.0,0.6031053910822276
26,0.0,1.0,0,1.0,0.5114158587687617,0.0,0.028167405919361455
27,1.0,1.0,1,0.0,0.5486382365259854,0.0,0.12036940735095863
28,1.0,1.0,1,0.0,0.64384004306403,0.0,0.36515404720269273
29,0.0,0.0,1,1.0,0.6746247649684296,0.0,0.4497136605458135
30,0.0,0.0,1,0.0,0.7472216545919448,1.0,0.6684539916519727
31,0.0,1.0,0,1.0,0.5670431655669559,1.0,0.16639510577533645
32,1.0,0.0,0,0.0,0.5906676953074046,1.0,0.22617511621517417
33,1.0,0.0,0,1.0,0.5786174799664597,1.0,0.19556891813394872
34,1.0,1.0,1,1.0,0.5132815159699979,1.0,0.03277272919605867
35,1.0,1.0,1,1.0,0.44666543754108456,1.0,-0.13207690313468223
36,0.0,0.0,1,0.0,0.4279331260133248,1.0,-0.17903309281673907
37,1.0,1.0,1,1.0,0.2686713960599255,1.0,-0.6175882566401245
38,1.0,1.0,1,1.0,0.2645300304287436,1.0,-0.6306515082000348
39,1.0,1.0,1,1.0,0.26340525684644805,1.0,-0.6342219405102314
40,1.0,1.0,1,0.0,0.2631025678864027,0.0,-0.6351844538080913
41,0.0,0.0,1,1.0,0.4769517537540886,0.0,-0.05689951463164972
42,0.0,0.0,1,1.0,0.6536753633805401,0.0,0.3917749818014701
43,0.0,0.0,1,1.0,0.7009842804918055,0.0,0.5254567094377024
44,0.0,0.0,1,1.0,0.7138671046488494,0.0,0.5638495301230765
45,0.0,0.0,1,1.0,0.7174125637055928,0.0,0.5745947741017856
46,1.0,1.0,1,0.0,0.7183813761904607,0.0,0.5775451202564531
47,0.0,0.0,1,1.0,0.7708846663954309,0.0,0.7482999825879517
48,0.0,0.0,1,1.0,0.7711131799343798,0.0,0.7490982041617191
49,0.0,0.0,1,1.0,0.7711742571454635,0.0,0.7493116481023684
