,action_stage_1,state_of_stage_2,transition_type,reward,probs,correct,delta_q
0,0.0,0.0,1,1.0,0.5,1.0,0.0
1,1.0,1.0,1,1.0,0.6721346164974576,1.0,0.1709032695318313
2,1.0,1.0,1,1.0,0.5,1.0,0.0
3,0.0,0.0,1,0.0,0.3665536288109379,1.0,-0.13023414479871526
4,1.0,0.0,0,0.0,0.3278653835025424,1.0,-0.17090326953183133
5,1.0,0.0,0,0.0,0.33515586974401973,1.0,-0.16307093950078294
6,1.0,1.0,1,1.0,0.34100504649673796,1.0,-0.15684806677636012
7,0.0,0.0,1,1.0,0.2448434921697983,1.0,-0.26814496582955705
8,0.0,0.0,1,1.0,0.37633217293922505,1.0,-0.1202624324878096
9,0.0,1.0,0,0.0,0.4921059582768513,1.0,-0.0075181124181979975
10,0.0,1.0,0,1.0,0.5221246838251588,1.0,0.02108308083015059
11,1.0,1.0,1,1.0,0.5014253021185414,1.0,0.0013573173998073784
12,0.0,1.0,0,1.0,0.4132063320091049,1.0,-0.08349904733693869
13,0.0,0.0,1,0.0,0.4113285340086843,1.0,-0.08534407974370162
14,1.0,1.0,1,0.0,0.3192760323467794,1.0,-0.18024658928127713
15,1.0,1.0,1,1.0,0.4310792256630296,1.0,-0.06605366899147291
16,1.0,1.0,1,1.0,0.3477137788570122,1.0,-0.14977372062019312
17,1.0,1.0,1,1.0,0.2897458447244417,1.0,-0.21346227071576074
18,1.0,1.0,1,1.0,0.24972193581149313,1.0,-0.2619050326219763
19,1.0,1.0,1,1.0,0.2218630632438801,1.0,-0.2987462207209376
20,1.0,0.0,0,1.0,0.202214361089527,1.0,-0.32676034429527345
21,1.0,1.0,1,1.0,0.2456652794056642,1.0,-0.2670880129013131
22,1.0,1.0,1,0.0,0.23069036589869388,1.0,-0.28674129458244235
23,1.0,1.0,1,1.0,0.36600904002492163,1.0,-0.13079270602648974
24,1.0,1.0,1,1.0,0.31691365894365764,1.0,-0.1828394713050584
25,1.0,1.0,1,1.0,0.2819923697016707,0.0,-0.22250469535383233
26,1.0,0.0,0,0.0,0.2570135757961886,0.0,-0.25272796976627243
27,1.0,1.0,1,0.0,0.25929117619927394,0.0,-0.24989656348991018
28,1.0,1.0,1,0.0,0.3799791206226833,0.0,-0.11657016521820496
29,0.0,0.0,1,1.0,0.4844543185089515,0.0,-0.014808909316930186
30,0.0,1.0,0,0.0,0.5846930325463443,0.0,0.08143800036424143
31,1.0,1.0,1,0.0,0.5965260454953737,0.0,0.09308983435801998
32,0.0,0.0,1,1.0,0.6607807195008558,0.0,0.1587423561753975
33,0.0,0.0,1,1.0,0.734408408374153,0.0,0.24214713415157585
34,0.0,0.0,1,1.0,0.783096958158295,0.0,0.3056417972117238
35,0.0,0.0,1,1.0,0.815598541195695,0.0,0.35397119610874084
36,1.0,1.0,1,0.0,0.8377114231279984,0.0,0.3907514960163171
37,0.0,1.0,0,0.0,0.864282677939169,0.0,0.4407538794255583
38,0.0,0.0,1,1.0,0.8459165790758643,0.0,0.4054238065922011
39,1.0,1.0,1,0.0,0.8676488799782216,0.0,0.4476587718110179
40,0.0,0.0,1,1.0,0.8827646965354624,0.0,0.4806432894161158
41,0.0,1.0,0,0.0,0.8959753080849718,0.0,0.5126426614034751
42,0.0,1.0,0,0.0,0.8778410463220694,0.0,0.4695172982170576
43,0.0,0.0,1,1.0,0.8623713088536435,0.0,0.4368972674777957
44,0.0,1.0,0,0.0,0.8848050872608437,0.0,0.4853729217064061
45,0.0,1.0,0,1.0,0.869153839012606,0.0,0.4507940077133813
46,0.0,0.0,1,1.0,0.8341150820409986,0.0,0.384509059720799
47,0.0,0.0,1,1.0,0.8552830256992094,0.0,0.4229760825600058
48,0.0,0.0,1,1.0,0.8697258760277841,0.0,0.45199374980308754
49,0.0,0.0,1,1.0,0.879793888740797,0.0,0.47388296008113434
