,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,0,0,1,1,0.5,1,0.5643584
1,1,0,1,0,1,0.9713815,1,0.7748275
2,2,0,0,1,0,0.9921483,1,0.3282814
3,3,0,0,1,0,0.885974,1,0.13709186
4,4,0,0,1,1,0.70186585,1,0.62095356
5,5,0,0,1,1,0.97972983,1,0.83729434
6,6,0,0,1,0,0.9946711,1,0.36700228
7,7,0,1,0,1,0.9082198,1,0.7405475
8,8,0,0,1,0,0.99029195,1,0.2965928
9,9,0,1,0,1,0.864403,1,0.7289535
10,10,0,1,0,1,0.9895705,1,0.89566475
11,11,0,0,1,1,0.996293,1,0.90599734
12,12,0,0,1,0,0.99652386,1,0.38003883
13,13,0,0,1,0,0.9147848,1,0.15745299
14,14,0,1,0,1,0.727775,1,0.6845717
15,15,0,0,1,1,0.9862849,1,0.82552296
16,16,0,0,1,0,0.9942669,1,0.34937432
17,17,1,1,1,0,0.898621,1,0.2871202
18,18,0,0,1,0,0.8573181,1,0.08351954
19,19,0,0,1,0,0.62752557,1,-0.0021170785
20,20,0,0,1,0,0.49669454,1,-0.037673984
21,21,0,0,1,0,0.44144726,1,-0.05228443
22,22,0,1,0,1,0.41908294,1,0.5290391
23,23,0,0,1,0,0.96456856,1,0.1585593
24,24,1,1,1,0,0.7291417,1,0.1496173
25,25,1,1,1,1,0.7179723,1,-0.3879897
26,26,1,1,1,0,0.08142317,1,-0.052224673
27,27,0,0,1,0,0.4191738,1,-0.19057736
28,28,1,1,1,1,0.23321618,1,-0.6008759
29,29,1,0,0,0,0.022916086,1,-0.17242114
30,30,1,1,1,1,0.25410342,1,-0.62267
31,31,1,1,1,0,0.020058366,1,-0.23687811
32,32,1,1,1,0,0.18551692,1,-0.057654593
33,33,1,1,1,1,0.41094065,1,-0.54199165
34,34,1,1,1,0,0.032768335,1,-0.19266437
35,35,1,1,1,1,0.23089342,1,-0.6002561
36,36,1,1,1,1,0.02300293,1,-0.7817032
37,37,1,1,1,1,0.007524194,1,-0.86035115
38,38,1,1,1,0,0.0046175187,1,-0.3294181
39,39,1,1,1,1,0.11331078,1,-0.65797895
40,40,1,1,1,1,0.016152963,1,-0.8057372
41,41,1,1,1,1,0.006482266,1,-0.8702492
42,42,1,1,1,1,0.004341918,1,-0.89781654
43,43,1,1,1,1,0.0036576958,1,-0.90940577
44,44,1,1,1,1,0.003403175,1,-0.9142158
45,45,1,1,1,1,0.0033027946,1,-0.9161916
46,46,1,1,1,1,0.0032624216,1,-0.9169963
47,47,1,1,1,1,0.0032461197,1,-0.9173217
48,48,1,1,1,0,0.0032395504,1,-0.3530941
49,49,1,1,1,1,0.09928205,1,-0.6677147
50,50,1,1,1,0,0.0152145615,0,-0.24534753
51,51,1,1,1,0,0.17765701,0,-0.057706837
52,52,0,0,1,1,0.41086167,0,0.45495886
53,53,0,0,1,1,0.94487333,0,0.68546116
54,54,0,0,1,1,0.9863599,0,0.7860842
55,55,0,0,1,0,0.9926774,0,0.26471904
56,56,0,0,1,1,0.8393347,0,0.5973601
57,57,0,0,1,1,0.97658706,0,0.7468308
58,58,0,0,1,1,0.99066204,0,0.8120527
59,59,0,0,1,1,0.9937669,0,0.8399113
60,60,0,1,0,0,0.99475706,0,0.23201989
61,61,0,0,1,0,0.8098546,0,0.060556617
62,62,0,0,1,1,0.5934395,0,0.522141
63,63,0,0,1,1,0.96306634,0,0.7191222
64,64,0,1,0,0,0.9889174,0,0.18278356
65,65,0,0,1,1,0.7579666,0,0.6018277
66,66,0,1,0,0,0.9772166,0,0.13747779
67,67,1,1,1,0,0.7023699,0,0.22502539
68,68,0,0,1,1,0.8030366,0,0.67593396
69,69,0,0,1,0,0.98553574,0,0.2810236
70,70,0,0,1,1,0.8525968,0,0.6592655
71,71,0,0,1,1,0.9839742,0,0.8251612
72,72,0,0,1,1,0.99425405,0,0.8962918
73,73,0,0,1,1,0.99630743,0,0.9262731
74,74,0,0,1,1,0.996936,0,0.9387424
75,75,0,0,1,1,0.99716496,0,0.94387305
76,76,0,0,1,1,0.99725413,0,0.9459656
77,77,0,0,1,1,0.99728966,0,0.9468128
78,78,0,0,1,1,0.9973039,0,0.9471537
79,79,0,0,1,1,0.9973096,0,0.94729006
80,80,1,1,1,0,0.99731195,0,0.98015696
81,81,0,0,1,1,0.99780965,0,0.9802113
82,82,0,0,1,1,0.9978104,0,0.9802329
83,83,0,0,1,1,0.9978107,0,0.9802414
84,84,0,0,1,1,0.99781084,0,0.98024476
85,85,0,0,1,1,0.99781084,0,0.98024607
86,86,0,0,1,0,0.9978109,0,0.4158882
87,87,1,1,1,0,0.93069434,0,0.42822644
88,88,0,0,1,0,0.93550277,0,0.17843656
89,89,1,0,0,1,0.7529512,0,-0.38999352
90,90,1,1,1,0,0.08049204,0,-0.028919384
91,91,0,0,1,1,0.45496878,0,0.46147165
92,92,0,0,1,1,0.9469541,0,0.65698034
93,93,0,0,1,1,0.9837476,0,0.7346006
94,94,0,0,1,1,0.9899283,0,0.7653038
95,95,0,1,0,0,0.9916711,0,0.15074016
96,96,1,0,0,1,0.7193901,0,-0.34126008
97,97,0,0,1,1,0.10608987,0,0.056460503
98,98,1,1,1,0,0.5872529,0,0.4996493
99,99,0,1,0,1,0.9577316,0,0.5854129
100,100,0,0,1,0,0.97481894,1,0.11569021
101,101,1,1,1,1,0.6731652,1,-0.32270643
102,102,1,1,1,1,0.11759102,1,-0.5008639
103,103,1,1,1,1,0.041962348,1,-0.57277375
104,104,1,1,1,0,0.027193079,1,-0.03727258
105,105,0,0,1,0,0.44206548,1,-0.25173575
106,106,1,1,1,1,0.17190298,1,-0.5778265
107,107,1,1,1,1,0.026370635,1,-0.7243777
108,108,1,0,0,0,0.010728597,1,-0.1755135
109,109,1,1,1,0,0.25046033,1,-0.01928383
110,110,1,1,1,1,0.46992734,1,-0.4895264
111,111,1,1,1,1,0.044903066,1,-0.6908468
112,112,1,1,1,1,0.013194915,1,-0.7756041
113,113,1,1,1,0,0.007814048,1,-0.2464639
114,114,1,1,1,1,0.1766407,1,-0.5755123
115,115,1,0,0,0,0.02674428,1,-0.11453229
116,116,1,1,1,0,0.32842785,1,0.012889231
117,117,0,1,0,0,0.5201139,1,-0.07265154
118,118,1,1,1,1,0.38847175,1,-0.54838645
119,119,0,0,1,0,0.031525858,1,-0.59688103
120,120,1,1,1,1,0.02348144,1,-0.80945647
121,121,1,1,1,1,0.0063343714,1,-0.9018447
122,122,1,1,1,1,0.0035671496,1,-0.94118917
123,123,1,0,0,0,0.0027921747,1,-0.3321572
124,124,1,0,0,0,0.11160335,1,-0.1047444
125,125,0,0,1,0,0.34204942,1,-0.12397878
126,126,1,1,1,1,0.31554928,1,-0.66498035
127,127,1,1,1,0,0.015472558,1,-0.30306053
128,128,1,0,0,0,0.13093172,1,-0.10580932
129,129,0,1,0,1,0.34055418,1,0.47454765
130,130,0,0,1,0,0.95090973,1,0.10339888
131,131,1,1,1,1,0.6560569,1,-0.43536022
132,132,1,1,1,1,0.06186059,1,-0.64551306
133,133,1,1,1,1,0.017437996,1,-0.7273289
134,134,1,1,1,1,0.010534727,1,-0.7591247
135,135,1,1,1,1,0.008653792,1,-0.77146125
136,136,1,1,1,1,0.008017225,1,-0.7762405
137,137,1,1,1,1,0.0077832923,1,-0.77808946
138,138,1,1,1,0,0.0076946192,1,-0.21444546
139,139,0,0,1,0,0.20762424,1,-0.35286534
140,140,1,0,0,0,0.099409886,1,-0.07997219
141,141,1,0,0,1,0.37766725,1,-0.5425584
142,142,1,1,1,1,0.032656338,1,-0.7384525
143,143,1,1,1,0,0.0098346565,1,-0.2718102
144,144,1,0,0,1,0.1547824,1,-0.6534223
145,145,1,1,1,1,0.01661151,1,-0.7743335
146,146,1,1,1,1,0.007875813,1,-0.8475121
147,147,1,1,1,0,0.0050010956,1,-0.32091913
148,148,0,0,1,0,0.11875422,1,-0.31855872
149,149,1,0,0,0,0.120305665,1,-0.08582973
150,150,0,0,1,1,0.36910826,0,0.43293196
151,151,0,0,1,1,0.9372534,0,0.66100925
152,152,0,0,1,1,0.98414505,0,0.7589756
153,153,0,0,1,1,0.9913382,0,0.8003247
154,154,0,0,1,1,0.9932964,0,0.8175405
155,155,0,1,0,0,0.99397564,0,0.21902598
156,156,0,0,1,0,0.7970428,0,0.03706495
157,157,0,0,1,1,0.5576147,0,0.49449235
158,158,0,1,0,1,0.95640844,0,0.649701
159,159,0,0,1,1,0.9830045,0,0.7477158
160,160,0,1,0,0,0.99071306,0,0.21417403
161,161,0,0,1,1,0.79209673,0,0.59452266
162,162,0,1,0,0,0.9761784,0,0.13054919
163,163,0,1,0,1,0.6932456,0,0.51199514
164,164,0,0,1,0,0.96074516,0,0.14467442
165,165,1,0,0,1,0.7116795,0,-0.3353801
166,166,1,1,1,0,0.109623194,0,0.031058574
167,167,1,1,1,0,0.5483421,0,0.19374745
168,168,0,1,0,0,0.77030563,0,0.0018749515
169,169,1,1,1,0,0.5029274,0,0.07587564
170,170,0,0,1,1,0.6163009,0,0.61066204
171,171,0,0,1,1,0.9784132,0,0.8194766
172,172,0,0,1,1,0.9940476,0,0.9008468
173,173,0,0,1,1,0.9964106,0,0.93249625
174,174,0,0,1,1,0.9970525,0,0.9447857
175,175,0,0,1,1,0.9972697,0,0.9495502
176,176,0,0,1,1,0.9973495,0,0.9513947
177,177,0,1,0,0,0.9973798,0,0.32586083
178,178,0,0,1,1,0.88443786,0,0.7188242
179,179,0,0,1,1,0.98889697,0,0.86538345
180,180,0,0,1,1,0.9955247,0,0.92004406
181,181,0,0,1,1,0.9968149,0,0.9404302
182,182,0,0,1,1,0.9971946,0,0.9480334
183,183,0,0,1,1,0.99732435,0,0.9508691
184,184,0,0,1,1,0.9973712,0,0.9519267
185,185,0,0,1,0,0.9973885,0,0.38796273
186,186,0,0,1,1,0.91856426,0,0.70267814
187,187,0,1,0,0,0.9877334,0,0.2326022
188,188,0,0,1,1,0.810414,0,0.66939557
189,189,0,0,1,1,0.98494196,0,0.8414866
190,190,0,0,1,1,0.99480814,0,0.90909463
191,191,0,1,0,0,0.99659026,0,0.30939436
192,192,0,0,1,0,0.87350416,0,0.14757928
193,193,0,0,1,1,0.7153878,0,0.6127471
194,194,1,1,1,0,0.9786866,0,0.64245605
195,195,0,0,1,1,0.98223186,0,0.84076816
196,196,0,0,1,0,0.9947849,0,0.35962903
197,197,0,1,0,0,0.9043085,0,0.12301266
198,198,0,1,0,0,0.6831461,0,0.034760363
199,199,0,0,1,1,0.5540613,0,0.5875318
