,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,1,1,1,0,0.5,0,0.0
1,1,0,1,0,1,0.5,0,0.06096979
2,2,0,1,0,0,0.6079183,0,0.057298366
3,3,0,0,1,1,0.60160595,0,0.11438652
4,4,0,0,1,1,0.6948325,0,0.16806622
5,5,0,1,0,0,0.7701115,0,0.15710853
6,6,0,0,1,1,0.755861,0,0.2083219
7,7,0,0,1,1,0.8173521,0,0.2564647
8,8,0,0,1,1,0.86351687,0,0.30171794
9,9,1,1,1,0,0.8975533,0,0.3013191
10,10,0,0,1,1,0.8972892,0,0.34385332
11,11,0,1,0,0,0.92225736,0,0.32090408
12,12,0,1,0,0,0.90956545,0,0.2994843
13,13,0,0,1,1,0.8960665,0,0.342466
14,14,0,1,0,0,0.92153883,0,0.31956208
15,15,0,1,0,0,0.90876824,0,0.29818782
16,16,0,1,0,0,0.8951947,0,0.2782412
17,17,0,0,1,1,0.88094985,0,0.32296324
18,18,1,1,1,0,0.9107765,0,0.32272843
19,19,0,0,1,1,0.9106391,0,0.3647017
20,20,0,0,1,1,0.93235165,0,0.40409335
21,21,0,1,0,0,0.94817865,0,0.37691954
22,22,0,0,1,1,0.9376886,0,0.41572762
23,23,0,0,1,0,0.95213985,0,0.39116442
24,24,1,1,1,0,0.9434138,0,0.3909798
25,25,0,1,0,0,0.94334286,0,0.3646499
26,26,0,0,1,0,0.93232816,0,0.34328762
27,27,1,1,1,1,0.92196506,0,0.2821755
28,28,0,0,1,1,0.8838861,0,0.32300013
29,29,0,0,1,1,0.910798,0,0.36130357
30,30,0,0,1,1,0.9307936,0,0.39724007
31,31,0,1,0,0,0.9457022,0,0.36677724
32,32,0,1,0,1,0.93328726,0,0.3993043
33,33,0,0,1,1,0.94645965,0,0.4328789
34,34,0,1,0,0,0.9574585,0,0.40037647
35,35,0,1,0,0,0.9468491,0,0.37000692
36,36,0,0,1,1,0.93471926,0,0.4057643
37,37,0,0,1,1,0.9487661,0,0.439284
38,38,0,0,1,1,0.9592961,0,0.47070506
39,39,0,0,1,1,0.96726084,0,0.500158
40,40,0,0,1,1,0.97334486,0,0.5277653
41,41,0,0,1,0,0.97804034,0,0.49267197
42,42,0,0,1,1,0.9719116,0,0.5205969
43,43,0,0,1,1,0.97690517,0,0.54678243
44,44,0,0,1,0,0.98079395,0,0.5103662
45,45,0,0,1,1,0.9751852,0,0.5370602
46,46,0,0,1,1,0.97943133,0,0.5621003
47,47,0,1,0,0,0.98276323,0,0.5207106
48,48,0,0,1,1,0.9769236,0,0.5470023
49,49,0,0,1,1,0.98082376,0,0.5716472
50,50,0,0,1,0,0.9838888,1,0.53377795
51,51,0,1,0,1,0.97895026,1,0.5552167
52,52,0,1,0,1,0.9819041,1,0.5756063
53,53,0,0,1,0,0.98433405,1,0.53712654
54,54,0,0,1,0,0.9794409,1,0.50093454
55,55,0,0,1,0,0.9734894,1,0.4668969
56,56,0,0,1,0,0.96638215,1,0.4348878
57,57,0,0,1,0,0.9580432,1,0.40478864
58,58,0,1,0,1,0.94842386,1,0.43574452
59,59,0,0,1,0,0.9582903,1,0.40534633
60,60,0,0,1,0,0.9486198,1,0.37678277
61,61,0,0,1,0,0.9376311,1,0.3499448
62,62,0,0,1,0,0.9253414,1,0.32472968
63,63,0,0,1,0,0.91180366,1,0.30104068
64,64,0,0,1,0,0.8971045,1,0.2787868
65,65,0,0,1,0,0.8813609,1,0.25788227
66,66,0,0,1,0,0.8647142,1,0.23824643
67,67,0,0,1,0,0.8473239,1,0.2198033
68,68,0,0,1,0,0.82936,1,0.20248142
69,69,0,0,1,0,0.8109964,1,0.1862135
70,70,0,1,0,1,0.7924042,1,0.23232688
71,71,0,0,1,0,0.8417335,1,0.21392569
72,72,0,1,0,1,0.82329303,1,0.2584883
73,73,0,0,1,0,0.86522335,1,0.23821098
74,74,0,0,1,1,0.8472909,1,0.28018028
75,75,0,0,1,0,0.882405,1,0.2587053
76,76,0,0,1,1,0.86540526,1,0.2995397
77,77,1,1,1,0,0.89610356,1,0.30115017
78,78,1,1,1,1,0.89717716,1,0.24185692
79,79,0,0,1,0,0.85065347,1,0.2193067
80,80,0,0,1,0,0.8288539,1,0.19815291
81,81,0,0,1,0,0.8061776,1,0.17830981
82,82,0,0,1,0,0.7828964,1,0.15969689
83,83,0,0,1,0,0.7592804,1,0.14223857
84,84,0,0,1,1,0.735587,1,0.18683359
85,85,0,0,1,0,0.793137,1,0.1678043
86,86,0,0,1,1,0.7697778,1,0.21091667
87,87,0,0,1,0,0.82012206,1,0.19048825
88,88,0,0,1,0,0.797417,1,0.17131077
89,89,1,1,1,1,0.7742173,1,0.1157386
90,90,0,0,1,0,0.69689083,1,0.0977363
91,91,0,0,1,1,0.6688616,1,0.14180775
92,92,1,1,1,1,0.7349838,1,0.08972463
93,93,0,0,1,0,0.6559756,1,0.0701919
94,94,0,0,1,0,0.62361187,1,0.051850848
95,95,1,1,1,1,0.5921778,1,0.0030390837
96,96,1,0,0,0,0.505465,1,0.02005438
97,97,0,1,0,1,0.53600156,1,0.065593116
98,98,0,0,1,0,0.6158161,1,0.04517263
99,99,0,0,1,0,0.5805271,1,0.026028942
100,100,1,1,1,0,0.54667187,0,0.03987809
101,101,0,0,1,1,0.57122546,0,0.08290171
102,102,0,0,1,0,0.6448167,0,0.062407233
103,103,0,1,0,0,0.6103801,0,0.04501784
104,104,1,0,0,1,0.5802559,0,-0.0009561495
105,105,0,0,1,1,0.49828056,0,0.04231758
106,106,1,1,1,1,0.57551795,0,-0.0021423283
107,107,1,1,1,1,0.4961475,0,-0.043831363
108,108,1,1,1,0,0.42182413,0,-0.021951117
109,109,1,1,1,0,0.4606069,0,-0.0013036786
110,110,0,0,1,1,0.4976556,0,0.03936428
111,111,1,1,1,0,0.57031995,0,0.058845527
112,112,1,1,1,0,0.6042703,0,0.07722383
113,113,0,0,1,1,0.6354083,0,0.11544047
114,114,0,0,1,1,0.69643766,0,0.15135129
115,115,0,0,1,1,0.74813807,0,0.18509328
116,116,0,0,1,1,0.7910755,0,0.21679553
117,117,1,1,1,0,0.82627624,0,0.23413093
118,118,0,0,1,0,0.84345466,0,0.20294514
119,119,0,0,1,1,0.8115072,0,0.23459673
120,120,1,1,1,0,0.84389657,0,0.25094616
121,121,0,1,0,1,0.8587706,0,0.2794983
