,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,1,1,1,0,0.5,0,0.0
1,1,1,1,1,0,0.5,0,0.0
2,2,1,1,1,0,0.5,0,0.0
3,3,0,0,1,1,0.5,0,0.06096979
4,4,1,1,1,0,0.6079183,0,0.06096979
5,5,0,1,0,0,0.6079183,0,0.056839436
6,6,1,1,1,0,0.60081446,0,0.056839436
7,7,1,1,1,0,0.60081446,0,0.056839436
8,8,1,1,1,0,0.60081446,0,0.056839436
9,9,1,1,1,0,0.60081446,0,0.056839436
10,10,0,0,1,1,0.60081446,0,0.11441761
11,11,0,0,1,1,0.6948799,0,0.16852303
12,12,0,0,1,1,0.77069277,0,0.21936198
13,13,0,0,1,1,0.8289103,0,0.2671287
14,14,0,1,0,0,0.872308,0,0.24903229
15,15,0,1,0,0,0.8570927,0,0.2321618
16,16,0,0,1,1,0.84157526,0,0.27940807
17,17,0,0,1,1,0.88182735,0,0.32377684
18,18,1,1,1,0,0.9112509,0,0.32377684
19,19,0,0,1,1,0.9112509,0,0.36544114
20,20,0,0,1,0,0.9326864,0,0.343594
21,21,0,1,0,0,0.9221235,0,0.3203175
22,22,0,0,1,1,0.9092178,0,0.36229995
23,23,0,0,1,1,0.93125385,0,0.4017135
24,24,0,0,1,1,0.947331,0,0.43871355
25,25,0,0,1,1,0.9591356,0,0.47344622
26,26,0,0,1,1,0.9678795,0,0.5060489
27,27,0,1,0,0,0.9744225,0,0.47176704
28,28,0,0,1,1,0.9675019,0,0.50469136
29,29,0,0,1,1,0.974178,0,0.535579
30,30,0,0,1,1,0.9792156,0,0.56455487
31,31,0,0,1,1,0.98305976,0,0.59173614
32,32,0,0,1,1,0.9860262,0,0.6172331
33,33,0,0,1,1,0.9883405,0,0.6411491
34,34,0,0,1,1,0.9901652,0,0.66358143
35,35,0,0,1,1,0.9916184,0,0.6846213
36,36,0,0,1,1,0.9927871,0,0.7043544
37,37,0,0,1,1,0.9937356,0,0.7228613
38,38,0,0,1,1,0.99451214,0,0.7402175
39,39,0,0,1,1,0.9951531,0,0.756494
40,40,0,0,1,1,0.99568635,0,0.7717574
41,41,0,0,1,1,0.99613315,0,0.7860704
42,42,0,1,0,0,0.99651015,0,0.73281866
43,43,0,0,1,1,0.99488956,0,0.74984735
44,44,0,0,1,1,0.99547607,0,0.765795
45,45,0,0,1,0,0.99596435,0,0.7197601
46,46,0,0,1,0,0.99438906,0,0.67644805
47,47,0,0,1,1,0.9923537,0,0.69667083
48,48,0,1,0,0,0.993382,0,0.64947546
49,49,0,0,1,0,0.9907316,0,0.61067057
50,50,0,0,1,0,0.9877838,1,0.5741427
51,51,0,0,1,1,0.98417085,1,0.6007312
52,52,0,1,0,1,0.98689026,1,0.6210049
53,53,0,0,1,1,0.9886491,1,0.6445719
54,54,0,0,1,1,0.99040204,1,0.66668516
55,55,0,0,1,1,0.991802,1,0.6874335
56,56,0,0,1,1,0.99293053,1,0.70690036
57,57,0,0,1,0,0.9938486,1,0.6641943
58,58,0,0,1,1,0.991655,1,0.68500006
59,59,0,0,1,0,0.9928066,1,0.6435582
60,60,0,0,1,0,0.9903325,1,0.6045876
61,61,0,0,1,0,0.98724437,1,0.56794363
62,62,0,0,1,0,0.98346096,1,0.5334898
63,63,1,1,1,1,0.9789075,1,0.4720611
64,64,0,0,1,1,0.9675683,1,0.5006387
65,65,0,0,1,1,0.97343445,1,0.5274854
66,66,0,0,1,1,0.97799706,1,0.5527044
67,67,0,1,0,0,0.9815802,1,0.5119872
68,68,0,0,1,1,0.97546583,1,0.53843427
69,69,0,1,0,1,0.9796295,1,0.5595935
70,70,0,1,0,1,0.9824551,1,0.5797222
71,71,0,0,1,0,0.9847841,1,0.54077697
72,72,0,0,1,0,0.9799631,1,0.5041659
73,73,0,0,1,0,0.97408277,1,0.4697515
74,74,0,0,1,0,0.9670429,1,0.4374042
75,75,0,0,1,0,0.95876485,1,0.40700185
76,76,0,0,1,0,0.94919705,1,0.37842938
77,77,0,0,1,1,0.93832016,1,0.41254815
78,78,0,0,1,0,0.9510868,1,0.38364512
79,79,1,0,0,0,0.94045615,1,0.38481763
80,80,0,1,0,1,0.9409267,1,0.41724148
81,81,0,0,1,0,0.9526337,1,0.38768023
82,82,0,0,1,0,0.9420609,1,0.35993284
