,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,0,0,1,1,0.5,0,0.19218618
1,1,0,0,1,1,0.86928844,0,0.34789282
2,2,1,1,1,1,0.9686208,0,0.15570664
3,3,0,1,0,0,0.8227434,0,0.08597749
4,4,1,1,1,1,0.70006675,0,-0.068755426
5,5,1,1,1,1,0.33674565,0,-0.19424078
6,6,1,1,1,0,0.12842715,0,-0.103727736
7,7,0,1,0,0,0.26451972,0,-0.15497576
8,8,0,0,1,1,0.17830987,0,-0.0030990457
9,9,0,0,1,1,0.49236256,0,0.1191663
10,10,0,0,1,1,0.76401335,0,0.21754122
11,11,0,0,1,1,0.89516747,0,0.2966536
12,12,0,0,1,1,0.94904834,0,0.3602443
13,13,0,1,0,0,0.972118,0,0.20817901
14,14,0,1,0,0,0.88618475,0,0.08721688
15,15,0,0,1,1,0.70262605,0,0.1966097
16,16,0,0,1,1,0.8741644,0,0.28349137
17,17,0,0,1,1,0.9423953,0,0.35248765
18,18,0,0,1,1,0.9699688,0,0.40727535
19,19,0,1,0,0,0.98227954,0,0.24272156
20,20,1,1,1,1,0.9162835,0,0.12896623
21,21,0,0,1,1,0.7809863,0,0.20760617
22,22,0,0,1,1,0.8856139,0,0.26977795
23,23,0,0,1,1,0.93460184,0,0.3189289
24,24,0,0,1,1,0.95867896,0,0.35778493
25,25,0,0,1,0,0.97145325,0,0.1963154
26,26,0,1,0,0,0.87384486,0,0.05556605
27,27,0,0,1,1,0.6336255,0,0.14638281
28,28,0,1,0,0,0.80893826,0,0.014798655
29,29,1,0,0,1,0.53640884,0,-0.08895509
30,30,1,1,1,0,0.29380593,0,0.034703705
31,31,0,0,1,1,0.5847076,0,0.13613996
32,32,0,0,1,1,0.7928427,0,0.21657819
33,33,0,0,1,1,0.89427316,0,0.2803608
34,34,1,1,1,1,0.94069684,0,0.18635349
35,35,0,0,1,1,0.86261487,0,0.23692583
36,36,0,0,1,1,0.911795,0,0.2770213
37,37,0,1,0,0,0.93883336,0,0.10344445
38,38,0,0,1,1,0.7349366,0,0.17229708
39,39,0,0,1,1,0.84535235,0,0.22664629
40,40,0,0,1,1,0.90329725,0,0.26954657
41,41,0,0,1,1,0.9344623,0,0.30340922
42,42,1,1,1,1,0.95217425,0,0.22719131
43,43,0,0,1,1,0.9037656,0,0.25391993
44,44,0,0,1,1,0.9243721,0,0.2750172
45,45,0,0,1,0,0.9376889,0,0.099483155
46,46,0,0,1,0,0.72725946,0,-0.04308007
47,47,1,1,1,0,0.39539066,0,0.085820176
48,48,0,0,1,1,0.699741,0,0.16233699
49,49,0,0,1,1,0.8320759,0,0.2242831
50,50,0,0,1,0,0.901243,1,0.08220608
51,51,0,1,0,1,0.6922022,1,0.15353276
52,52,0,0,1,0,0.8195963,1,0.02309782
53,53,1,1,1,1,0.5566832,1,-0.06882498
54,54,0,0,1,1,0.33659253,1,0.018053519
