,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,0,0,1,0,0.5,1,0.0
1,1,0,0,1,1,0.5,1,0.766874
2,2,0,0,1,0,0.99106574,1,0.18603872
3,3,0,0,1,0,0.75811017,1,0.03825792
4,4,0,0,1,0,0.55846083,1,0.0072475877
5,5,0,0,1,0,0.5111239,1,0.0013070235
6,6,0,0,1,1,0.5020064,1,0.76710206
7,7,0,0,1,0,0.99107814,1,0.1860776
8,8,1,1,1,0,0.7581539,1,0.1860776
9,9,0,0,1,0,0.7581539,1,0.03826443
10,10,0,0,1,0,0.55847067,1,0.0072486633
11,11,1,1,1,0,0.5111255,1,0.0072486633
12,12,1,1,1,1,0.5111255,1,-0.7596253
13,13,1,1,1,1,0.009337091,1,-0.94566405
14,14,1,1,1,1,0.0029982436,1,-0.98392195
15,15,1,1,1,1,0.002372008,1,-0.9911696
16,16,1,1,1,0,0.0022689954,1,-0.22560258
17,17,1,0,0,0,0.20016186,1,-0.02742917
18,18,0,1,0,0,0.45799294,1,-0.02100785
19,19,0,0,1,0,0.46779567,1,-0.03262104
20,20,1,1,1,1,0.45009047,1,-0.7718101
21,21,1,0,0,0,0.008669829,1,-0.11241703
22,22,1,1,1,1,0.33397034,1,-0.85462993
23,23,1,1,1,1,0.0052318587,1,-0.97492105
24,24,1,1,1,1,0.0025064587,1,-0.99426806
25,25,1,0,0,0,0.0022263285,1,-0.14531814
26,26,0,0,1,0,0.29063398,1,-0.14707059
27,27,1,1,1,1,0.2884205,1,-0.87353736
28,28,1,1,1,0,0.0046610557,1,-0.2141547
29,29,1,1,1,1,0.21165323,1,-0.8108949
30,30,1,1,1,1,0.0068326024,1,-0.96102905
31,31,1,1,1,1,0.0027290399,1,-0.9923876
32,32,1,1,1,1,0.0022521266,1,-0.9983797
33,33,1,1,1,1,0.002170945,1,-0.99946624
34,34,1,0,0,0,0.0021565403,1,-0.14757952
35,35,1,1,1,0,0.28777957,1,-0.106773384
36,36,0,0,1,0,0.3417224,1,-0.107032716
37,37,1,1,1,1,0.3413643,1,-0.79527074
38,38,1,1,1,1,0.007515413,1,-0.95893896
39,39,1,1,1,1,0.0027641926,1,-0.9922994
40,40,1,0,0,0,0.0022533436,1,-0.14674038
41,41,1,1,1,1,0.28883684,1,-0.87351435
42,42,1,0,0,0,0.00466171,1,-0.12916996
43,43,0,1,0,1,0.31149244,1,0.7228391
44,44,0,0,1,0,0.9883243,1,-0.0031810151
