,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,0,0,1,1,0.5,1,0.6150128
1,1,0,1,0,1,0.9071579,1,0.8097581
2,2,0,0,1,0,0.95262825,1,0.30310827
3,3,1,1,1,1,0.7546202,1,-0.35860094
4,4,1,1,1,0,0.20931172,1,0.03209352
5,5,1,0,0,0,0.52970195,1,0.20250426
6,6,0,0,1,0,0.67929626,1,5.8155067e-05
7,7,1,0,0,1,0.5000539,1,-0.5476898
8,8,1,1,1,1,0.11609946,1,-0.7391216
9,9,1,1,1,1,0.06068815,1,-0.83313143
10,10,1,0,0,0,0.04361219,1,-0.24219172
11,11,1,1,1,1,0.2895372,1,-0.6863512
12,12,1,0,0,1,0.072842985,1,-0.77849555
13,13,1,0,0,1,0.05288352,1,-0.8441637
14,14,1,1,1,1,0.04193818,1,-0.8803153
15,15,1,1,1,1,0.03687306,1,-0.89282304
16,16,1,0,0,0,0.035261642,1,-0.27690777
17,17,1,1,1,1,0.26380193,1,-0.7020883
18,18,1,1,1,1,0.06900063,1,-0.836829
19,19,1,1,1,0,0.04304414,1,-0.26451588
20,20,1,0,0,0,0.27281788,1,-0.03491526
21,21,1,1,1,1,0.46769354,1,-0.578915
22,22,0,0,1,0,0.104740575,1,-0.6413873
23,23,1,1,1,0,0.08493045,1,-0.23054653
24,24,0,0,1,1,0.29849553,1,0.36036897
25,25,0,0,1,0,0.7917707,1,-0.022199092
26,26,0,0,1,1,0.47944254,1,0.43933007
27,27,0,0,1,0,0.8359345,1,0.006916616
28,28,0,0,1,0,0.5064084,1,-0.16516097
29,29,0,1,0,0,0.35157245,1,-0.21898332
30,30,0,0,1,1,0.3075463,1,0.36718887
31,31,1,1,1,1,0.7959073,1,-0.06955262
32,32,0,1,0,1,0.43590897,1,0.1592987
33,33,0,0,1,0,0.64345855,1,-0.3833146
34,34,0,0,1,0,0.19455576,1,-0.5881604
35,35,1,1,1,1,0.10157068,1,-0.7831079
36,36,1,1,1,1,0.05203382,1,-0.84915274
37,37,1,1,1,1,0.04120149,1,-0.8714322
38,38,1,1,1,0,0.03806028,1,-0.26390678
39,39,1,0,0,0,0.27326596,1,-0.008244046
40,40,1,1,1,1,0.49236187,1,-0.5590296
41,41,1,1,1,1,0.11185558,1,-0.7653904
42,42,1,1,1,1,0.05536982,1,-0.8408531
43,43,1,1,1,1,0.042433966,1,-0.86795247
44,44,1,1,1,0,0.03853528,1,-0.26253527
