,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,0,1,0,0,0.5,0,0.0
1,1,1,1,1,0,0.5,0,0.0
2,2,0,0,1,1,0.5,0,0.212637
3,3,0,0,1,1,0.88693446,0,0.38061774
4,4,0,0,1,1,0.97556555,0,0.51317394
5,5,0,0,1,1,0.9931122,0,0.617668
6,6,0,0,1,1,0.9974859,0,0.6999606
7,7,0,0,1,1,0.99886554,0,0.76470965
8,8,0,1,0,0,0.9993938,0,0.5840368
9,9,0,0,1,1,0.99652106,0,0.6776249
10,10,0,1,0,0,0.9985919,0,0.517527
11,11,0,0,1,1,0.99339473,0,0.62793666
12,12,0,0,1,1,0.9977234,0,0.7131067
13,13,0,0,1,1,0.9990011,0,0.7788003
14,14,0,0,1,1,0.9994711,0,0.8294664
15,15,0,1,0,1,0.99967617,0,0.8461309
16,16,0,0,1,0,0.99972445,0,0.66862917
17,17,0,0,1,0,0.9984639,0,0.5277704
18,18,0,0,1,1,0.9940149,0,0.628785
19,19,0,0,1,1,0.997742,0,0.7084276
20,20,0,0,1,1,0.9989548,0,0.7711583
21,21,0,1,0,0,0.9994305,0,0.5945439
22,22,0,0,1,0,0.99685663,0,0.4729988
23,23,0,0,1,1,0.9898684,0,0.5883364
24,24,0,0,1,1,0.9966625,0,0.67859125
25,25,0,0,1,1,0.998605,0,0.7491775
26,26,0,0,1,0,0.9992955,0,0.591714
27,27,0,0,1,1,0.99676955,0,0.67947394
28,28,0,0,1,0,0.9986169,0,0.53591853
29,29,0,0,1,0,0.99446666,0,0.42226845
30,30,0,0,1,1,0.98354435,0,0.5450429
31,31,0,0,1,1,0.99493235,0,0.64205235
32,32,0,0,1,1,0.9980138,0,0.7186181
33,33,0,0,1,1,0.99905294,0,0.77898526
34,34,0,0,1,1,0.9994721,0,0.82653415
35,35,0,1,0,1,0.99966687,0,0.84815466
36,36,0,0,1,1,0.9997298,0,0.88046443
37,37,0,1,0,1,0.9998024,0,0.893918
38,38,0,1,0,0,0.99982655,0,0.6950499
39,39,0,0,1,1,0.99881035,0,0.76437515
40,40,0,0,1,1,0.99939185,0,0.8179648
41,41,0,0,1,1,0.999638,0,0.8593846
42,42,0,1,0,0,0.99975765,0,0.6657619
43,43,0,0,1,1,0.9984207,0,0.7435169
44,44,0,0,1,1,0.9992558,0,0.8031879
45,45,0,0,1,1,0.99958235,0,0.8489798
46,46,0,0,1,1,0.99973196,0,0.88411987
47,47,0,0,1,1,0.99980927,0,0.91108537
48,48,0,1,0,0,0.9998531,0,0.7030224
49,49,0,0,1,0,0.9988987,0,0.5602351
50,50,0,1,0,1,0.9956228,1,0.64600277
51,51,0,1,0,0,0.9980882,1,0.50315374
52,52,0,0,1,0,0.9924154,1,0.40208048
