,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,0,0,1,1,0.5,0,0.46191728
1,1,0,0,1,1,0.9838431,0,0.71310115
2,2,0,1,0,1,0.9982451,0,0.8090254
3,3,0,0,1,1,0.99925166,0,0.89488107
4,4,0,0,1,1,0.9996512,0,0.94291323
5,5,0,0,1,1,0.9997725,0,0.9693313
6,6,0,0,1,1,0.9998201,0,0.9836693
7,7,0,0,1,1,0.99984163,0,0.99136823
8,8,0,0,1,1,0.9998521,0,0.9954661
9,9,0,0,1,1,0.9998574,0,0.9976314
10,10,0,0,1,1,0.99986017,0,0.9987683
11,11,0,0,1,1,0.99986154,0,0.9993622
12,12,0,0,1,0,0.99986225,0,0.5377536
13,13,0,0,1,0,0.99170476,0,0.28672954
14,14,0,0,1,1,0.9276195,0,0.6136414
15,15,0,1,0,0,0.9957595,0,0.32503685
16,16,0,0,1,0,0.9474226,0,0.1904732
17,17,0,0,1,1,0.84480315,0,0.57033396
18,18,0,0,1,1,0.9937789,0,0.7735171
19,19,0,0,1,0,0.99897397,0,0.4194002
20,20,0,0,1,0,0.9765898,0,0.22502083
21,21,1,0,0,1,0.8809794,0,-0.24705715
22,22,1,0,0,1,0.099951096,0,-0.49797195
23,23,1,1,1,0,0.011775918,0,-0.13972414
24,24,1,1,1,0,0.22392182,0,0.041236855
25,25,0,0,1,0,0.59069383,0,-0.03268203
26,26,1,1,1,0,0.42782456,0,0.058605544
27,27,1,0,0,1,0.6274616,0,-0.37607387
28,28,1,1,1,0,0.034043707,0,-0.10698415
29,29,1,0,0,1,0.2785414,0,-0.47263226
30,30,1,1,1,0,0.0147095965,0,-0.15322582
31,31,0,0,1,1,0.20374271,0,0.2750978
32,32,0,0,1,1,0.9203573,0,0.48736852
33,33,0,0,1,0,0.9870743,0,0.13061607
34,34,1,0,0,1,0.76168376,0,-0.19924055
35,35,1,0,0,1,0.14524391,0,-0.37375674
36,36,1,1,1,0,0.034728102,0,0.040951535
37,37,0,0,1,1,0.59008,0,0.32451925
38,38,0,0,1,1,0.9471928,0,0.46585482
39,39,0,1,0,0,0.98439056,0,0.02471621
40,40,1,1,1,0,0.55474716,0,0.22684637
41,41,0,0,1,0,0.88267165,0,0.061745506
42,42,1,0,0,1,0.63396734,0,-0.32593963
43,43,0,1,0,1,0.052178785,0,0.005856108
