,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,1,1,1,1,0.5,1,-0.06096979
1,1,0,1,0,1,0.39208165,1,0.00045892777
2,2,0,0,1,0,0.5008253,1,-0.0037025118
3,3,1,0,0,1,0.49334213,1,-0.06054195
4,4,1,1,1,1,0.39281544,1,-0.11441761
5,5,1,1,1,1,0.3051201,1,-0.16504236
6,6,1,1,1,1,0.23376195,1,-0.21260941
7,7,1,1,1,1,0.17808868,1,-0.2573007
8,8,1,1,1,0,0.13577591,1,-0.23831782
9,9,1,0,0,0,0.1526097,1,-0.21875256
10,10,1,1,1,1,0.17171231,1,-0.26319322
11,11,1,0,0,0,0.13087863,1,-0.24191171
12,12,1,1,1,1,0.14929649,1,-0.2850954
13,13,1,1,1,0,0.11397559,1,-0.2646747
14,14,0,0,1,1,0.1296712,1,-0.20718557
15,15,1,1,1,1,0.18387131,1,-0.24893022
16,16,1,1,1,0,0.14299731,1,-0.22716095
17,17,1,0,0,1,0.1632799,1,-0.26579857
18,18,0,0,1,1,0.12876156,1,-0.21136945
19,19,0,1,0,1,0.17939797,1,-0.15918693
20,20,0,0,1,0,0.2413907,1,-0.17257455
21,21,0,0,1,0,0.22419752,1,-0.18516423
22,22,1,1,1,0,0.20884013,1,-0.16233568
23,23,1,1,1,1,0.23726739,1,-0.20182346
24,24,1,0,0,0,0.1897301,1,-0.17631269
25,25,1,1,1,1,0.21955529,1,-0.21512611
26,26,1,1,1,1,0.17545427,1,-0.25156417
27,27,0,0,1,0,0.14069107,1,-0.2634973
28,28,1,1,1,1,0.13063002,1,-0.29770374
29,29,1,1,1,1,0.10513242,1,-0.3298137
30,30,1,1,1,1,0.08529938,1,-0.3599542
31,31,1,0,0,0,0.06983429,1,-0.32435638
32,32,1,1,1,0,0.08841254,1,-0.2940887
33,33,1,1,1,1,0.10760411,1,-0.3265612
34,34,1,1,1,1,0.08714261,1,-0.35703176
35,35,1,1,1,1,0.071212225,1,-0.38562256
36,36,1,1,1,0,0.05875228,1,-0.3514787
37,37,1,1,1,1,0.07389987,1,-0.38031903
38,38,1,1,1,0,0.060897827,1,-0.34641635
39,39,1,1,1,1,0.076431036,1,-0.37548956
40,40,1,1,1,0,0.062915124,1,-0.34181145
41,41,1,1,1,1,0.07880231,1,-0.37110093
42,42,1,0,0,0,0.064802185,1,-0.33466566
43,43,1,1,1,0,0.082615376,1,-0.30366394
44,44,1,1,1,1,0.10116669,1,-0.33545455
45,45,0,0,1,0,0.082186304,1,-0.34682664
46,46,1,1,1,1,0.07622297,1,-0.37666374
47,47,1,1,1,1,0.062419005,1,-0.4046661
48,48,1,0,0,0,0.05161926,1,-0.3665791
49,49,1,0,0,0,0.066801526,1,-0.33100554
50,50,1,1,1,0,0.08463284,0,-0.30130512
51,51,1,1,1,0,0.10272005,0,-0.27331993
52,52,1,1,1,1,0.122813106,0,-0.30792367
53,53,1,1,1,1,0.09841426,0,-0.34038422
54,54,1,1,1,0,0.07955081,0,-0.3098633
55,55,1,1,1,0,0.09718321,0,-0.28112575
56,56,1,1,1,0,0.116891116,0,-0.25407004
57,57,1,1,1,1,0.13852596,0,-0.2895699
58,58,1,1,1,0,0.11076542,0,-0.26192373
59,59,1,1,1,0,0.13192087,0,-0.23590459
60,60,1,1,1,0,0.15486813,0,-0.21141897
61,61,1,1,1,0,0.17934555,0,-0.18837848
62,62,0,0,1,0,0.20504566,0,-0.1991806
63,63,1,1,1,0,0.19266991,0,-0.17750183
64,64,1,0,0,1,0.21809311,0,-0.21631859
65,65,1,1,1,0,0.17421678,0,-0.19329315
