,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,1,1,1,0,0.5,0,0.0
1,1,0,0,1,1,0.5,0,0.27104118
2,2,0,0,1,1,0.76782346,0,0.469526
3,3,0,1,0,0,0.8881462,0,0.32812503
4,4,0,0,1,1,0.8096849,0,0.51575685
5,5,0,0,1,1,0.90686584,0,0.65131146
6,6,0,0,1,1,0.9465529,0,0.7491383
7,7,1,1,1,1,0.9646282,0,0.4780971
8,8,1,1,1,1,0.89184886,0,0.2796123
9,9,0,0,1,1,0.7744978,0,0.35014117
10,10,0,0,1,1,0.8242075,0,0.40094155
11,11,0,1,0,1,0.8543696,0,0.4252432
12,12,0,0,1,0,0.8672122,0,0.18344139
13,13,1,0,0,1,0.6920025,0,0.03446833
14,14,0,0,1,0,0.53795266,0,-0.1395971
15,15,1,1,1,0,0.35068718,0,0.026830997
16,16,0,0,1,1,0.5295657,0,0.16942757
17,17,0,1,0,0,0.67866796,0,-0.0038779303
18,18,1,1,1,0,0.49572194,0,0.12257825
19,19,0,1,0,0,0.632026,0,-0.005627701
20,20,0,0,1,0,0.4937918,0,-0.081896715
21,21,1,1,1,0,0.41062137,0,0.011432923
22,22,1,1,1,0,0.51261026,0,0.07808062
23,23,1,0,0,1,0.58529717,0,-0.15712257
24,24,0,0,1,1,0.3332867,0,0.059405945
25,25,1,1,1,1,0.5651645,0,-0.0932301
26,26,1,0,0,1,0.39857414,0,-0.21985497
27,27,1,0,0,1,0.27484357,0,-0.31070957
28,28,1,1,1,1,0.2024402,0,-0.36025643
29,29,1,0,0,1,0.16941841,0,-0.41048002
30,30,0,0,1,1,0.140471,0,-0.25060835
31,31,0,0,1,1,0.24863696,0,-0.1380764
32,32,0,0,1,1,0.35221675,0,-0.058870435
33,33,0,0,1,1,0.43541634,0,-0.0031238978
34,34,0,0,1,1,0.49655375,0,0.036109526
35,35,1,1,1,0,0.5397523,0,0.28179854
36,36,0,0,1,1,0.7761783,0,0.30940896
37,37,0,0,1,1,0.7966316,0,0.3288388
38,38,0,0,1,0,0.81016976,0,0.07147
39,39,1,1,1,0,0.5781993,0,0.2481481
40,40,0,0,1,0,0.74932927,0,0.0592838
41,41,0,1,0,1,0.56503206,0,0.18552074
42,42,1,0,0,0,0.6939547,0,0.3059458
43,43,0,0,1,1,0.79414445,0,0.39629373
