,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,1,1,1,0,0.5,0,0.0
1,1,1,1,1,0,0.5,0,0.0
2,2,1,1,1,0,0.5,0,0.0
3,3,1,1,1,0,0.5,0,0.0
4,4,0,0,1,0,0.5,0,0.0
5,5,0,0,1,1,0.5,0,0.0
6,6,0,0,1,1,0.94869655,0,0.29242784
7,7,0,0,1,1,0.9880242,0,0.44233227
8,8,0,0,1,1,0.9944003,0,0.5191763
9,9,0,1,0,0,0.9962131,0,0.5585681
10,10,0,0,1,1,0.9962131,0,0.5585681
11,11,0,0,1,1,0.9969019,0,0.5787612
12,12,0,0,1,1,0.997205,0,0.5891126
13,13,0,0,1,1,0.9973487,0,0.5944189
14,14,0,0,1,1,0.99741954,0,0.597139
15,15,0,0,1,1,0.9974551,0,0.5985334
16,16,0,0,1,1,0.9974731,0,0.5992482
17,17,0,0,1,1,0.99748236,0,0.5996146
18,18,0,0,1,1,0.997487,0,0.59980243
19,19,0,0,1,1,0.99748945,0,0.59989876
20,20,0,0,1,1,0.9974907,0,0.5999481
21,21,0,0,1,1,0.9974913,0,0.5999734
22,22,0,1,0,0,0.99749166,0,0.5999864
23,23,0,0,1,1,0.99749166,0,0.5999864
24,24,0,0,1,1,0.9974918,0,0.599993
25,25,0,0,1,1,0.9974919,0,0.5999964
26,26,0,1,0,0,0.9974919,0,0.5999982
27,27,0,1,0,0,0.9974919,0,0.5999982
28,28,0,0,1,1,0.9974919,0,0.5999982
29,29,0,0,1,1,0.99749196,0,0.59999907
30,30,0,0,1,1,0.99749196,0,0.5999995
31,31,0,0,1,1,0.99749196,0,0.5999997
32,32,0,0,1,1,0.99749196,0,0.59999985
33,33,0,0,1,1,0.99749196,0,0.59999996
34,34,0,0,1,1,0.99749196,0,0.59999996
35,35,0,0,1,1,0.99749196,0,0.59999996
36,36,0,0,1,1,0.99749196,0,0.59999996
37,37,0,0,1,0,0.99749196,0,0.6
38,38,0,1,0,1,0.95557094,0,0.30757216
39,39,0,0,1,1,0.5376992,0,0.015144332
40,40,0,0,1,1,0.8282012,0,0.15766773
41,41,0,0,1,1,0.909026,0,0.23072812
42,42,0,0,1,1,0.93556136,0,0.26818034
43,43,0,0,1,1,0.946189,0,0.28737912
44,44,0,0,1,0,0.9509745,0,0.2972208
45,45,1,1,1,0,0.52451694,0,0.009838015
46,46,0,1,0,0,0.8205377,0,0.15236141
47,47,0,0,1,0,0.9045524,0,0.22542179
48,48,0,0,1,1,0.68550336,0,0.07810355
49,49,0,0,1,1,0.9499374,0,0.29501307
50,50,0,0,1,0,0.98291636,1,0.40620527
51,51,0,1,0,1,0.84601885,1,0.17077683
52,52,1,1,1,1,0.3015374,1,-0.08419877
53,53,1,1,1,1,0.10489894,1,-0.21490443
54,54,1,0,0,1,0.056659304,1,-0.2819068
55,55,1,0,0,0,0.2499223,1,-0.11016437
56,56,1,1,1,1,0.041564208,1,-0.31455356
57,57,1,1,1,0,0.029865956,1,-0.34890032
58,58,0,1,0,1,0.32321548,1,-0.07407934
59,59,1,0,0,0,0.09526981,1,-0.22562838
60,60,1,1,1,0,0.03570263,1,-0.3304024
61,61,1,1,1,1,0.23978306,1,-0.11566168
62,62,1,0,0,1,0.048660133,1,-0.29800907
63,63,1,1,1,0,0.3562915,1,-0.05929052
64,64,0,1,0,1,0.80111945,1,0.13966234
65,65,0,0,1,0,0.37599656,1,-0.05077821
66,66,1,1,1,0,0.09947291,1,-0.22083408
67,67,1,1,1,1,0.43544212,1,-0.02602994
68,68,1,1,1,1,0.101489834,1,-0.21859722
69,69,1,1,1,1,0.04048201,1,-0.3173111
70,70,1,1,1,1,0.024833886,1,-0.36791384
71,71,1,1,1,1,0.019280685,1,-0.39385384
72,72,1,1,1,1,0.016925888,1,-0.40715122
73,73,1,1,1,1,0.015830755,1,-0.41396773
74,74,1,1,1,1,0.015296703,1,-0.417462
75,75,1,1,1,1,0.015029854,1,-0.41925323
76,76,1,1,1,1,0.014894844,1,-0.42017144
77,77,1,1,1,1,0.014826099,1,-0.42064214
78,78,1,1,1,1,0.01479098,1,-0.42088345
79,79,1,1,1,1,0.014773009,1,-0.42100713
80,80,1,1,1,1,0.014763805,1,-0.42107055
81,81,1,0,0,1,0.01475909,1,-0.42110303
