,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,0,0,1,0,0.5,1,0.0
1,1,1,1,1,0,0.5,1,0.0
2,2,1,1,1,1,0.5,1,0.0
3,3,0,0,1,0,0.4138051,1,-0.20625275
4,4,1,1,1,1,0.4138051,1,-0.20625275
5,5,1,1,1,1,0.3596694,1,-0.3416052
6,6,0,0,1,0,0.3259019,1,-0.43042958
7,7,1,1,1,1,0.3259019,1,-0.43042958
8,8,1,1,1,1,0.30466038,1,-0.48872018
9,9,0,0,1,0,0.2911526,1,-0.5269731
10,10,1,0,0,0,0.2911526,1,-0.5269731
11,11,1,1,1,1,0.2911526,1,-0.5269731
12,12,1,0,0,0,0.2824827,1,-0.55207646
13,13,0,0,1,0,0.2824827,1,-0.55207646
14,14,1,1,1,1,0.2824827,1,-0.55207646
15,15,1,0,0,0,0.276879,1,-0.5685504
16,16,1,1,1,0,0.276879,1,-0.5685504
17,17,0,0,1,1,0.34751216,1,-0.3731086
18,18,1,1,1,1,0.43002832,1,-0.16685584
19,19,0,0,1,0,0.39808998,1,-0.2448508
20,20,0,0,1,0,0.36978367,1,-0.31575114
21,21,1,1,1,1,0.35166982,1,-0.36227915
22,22,1,0,0,0,0.3322267,1,-0.413463
23,23,0,0,1,0,0.3208894,1,-0.4439968
24,24,1,1,1,1,0.31356153,1,-0.46403444
25,25,1,1,1,0,0.30148506,1,-0.4976236
26,26,1,1,1,0,0.37070397,1,-0.3134136
27,27,0,0,1,1,0.41943806,1,-0.1925266
28,28,1,1,1,1,0.50024337,1,0.0005765277
29,29,1,0,0,0,0.44686818,1,-0.1263447
30,30,1,1,1,1,0.41396007,1,-0.20587441
31,31,1,1,1,1,0.38030455,1,-0.28916588
32,32,1,1,1,1,0.3588064,1,-0.34382552
33,33,0,0,1,0,0.34499452,1,-0.37969568
34,34,1,1,1,1,0.32536164,1,-0.43188667
35,35,1,1,1,1,0.31669846,1,-0.4554263
36,36,1,1,1,1,0.31108117,1,-0.47087407
37,37,1,1,1,0,0.3074247,1,-0.48101157
38,38,1,0,0,0,0.38339505,1,-0.28141153
39,39,1,0,0,0,0.3698189,1,-0.31566164
40,40,1,1,1,1,0.36101872,1,-0.33813813
41,41,0,1,0,1,0.3322487,1,-0.41340426
42,42,0,0,1,0,0.31401134,1,-0.4627973
43,43,0,0,1,0,0.3086715,1,-0.4775474
44,44,1,0,0,0,0.3051947,1,-0.48722708
45,45,0,1,0,1,0.30292508,1,-0.49357933
46,46,0,0,1,0,0.29149416,1,-0.5259933
47,47,1,1,1,1,0.29004264,1,-0.5301619
48,48,1,1,1,1,0.28270283,1,-0.55143344
49,49,1,1,1,1,0.27794778,1,-0.5653928
50,50,1,1,1,1,0.27485418,0,-0.5745535
51,51,1,1,1,1,0.27283567,0,-0.5805652
52,52,1,0,0,1,0.27151608,0,-0.5845104
53,53,1,1,1,0,0.34449956,0,-0.38099325
54,54,0,0,1,1,0.42569917,0,-0.1773295
55,55,0,0,1,1,0.48153105,0,-0.04377233
56,56,0,0,1,1,0.5185118,0,0.04387395
57,57,0,0,1,0,0.5426956,0,0.10139142
58,58,1,1,1,0,0.4716991,0,-0.06711576
