,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,1,1,1,1,0.5,1,0.0
1,1,1,1,1,1,0.26124713,1,-0.14145331
2,2,1,1,1,1,0.1377712,1,-0.24955821
3,3,1,0,0,1,0.080094434,1,-0.3321768
4,4,1,1,1,1,0.1975674,1,-0.1907235
5,5,1,0,0,0,0.13405511,1,-0.2538643
6,6,1,1,1,1,0.10806722,1,-0.28721267
7,7,1,1,1,1,0.078330584,1,-0.3354677
8,8,1,1,1,1,0.06086745,1,-0.3723463
9,9,1,1,1,1,0.05005053,1,-0.4005306
10,10,1,1,1,0,0.043038663,1,-0.42207026
11,11,1,1,1,1,0.1012749,1,-0.29707855
12,12,0,0,1,1,0.074422665,1,-0.34300762
13,13,1,1,1,0,0.15863073,1,-0.22704065
14,14,1,1,1,1,0.29174963,1,-0.120688386
15,15,1,1,1,0,0.20930776,1,-0.18086256
16,16,1,1,1,1,0.3480648,1,-0.085397035
17,17,1,1,1,1,0.24399507,1,-0.15389134
18,18,0,0,1,0,0.18011369,1,-0.20623773
19,19,1,1,1,1,0.12968117,1,-0.2590639
20,20,0,0,1,0,0.09995107,1,-0.29906934
21,21,1,1,1,0,0.07624813,1,-0.33944148
22,22,1,0,0,0,0.15714416,1,-0.2285621
23,23,1,1,1,1,0.1293892,1,-0.25941628
24,24,1,1,1,1,0.08922404,1,-0.31613064
25,25,1,1,1,1,0.06650457,1,-0.35947427
26,26,1,1,1,1,0.052895468,1,-0.3925994
27,27,1,1,1,1,0.044313986,1,-0.4179151
28,28,1,1,1,1,0.038668014,1,-0.4372625
29,29,1,1,1,0,0.034825273,1,-0.45204863
30,30,1,1,1,0,0.08584075,1,-0.32189554
31,31,0,0,1,0,0.1632086,1,-0.22242677
32,32,1,0,0,1,0.14090075,1,-0.2460069
33,33,0,1,0,1,0.2888938,1,-0.12257458
34,34,0,0,1,0,0.20074844,1,-0.18800943
35,35,1,1,1,1,0.15085644,1,-0.23513025
36,36,1,1,1,1,0.10954525,1,-0.28513846
37,37,0,1,0,0,0.08500173,1,-0.32335696
38,38,0,0,1,0,0.17488466,1,-0.21111195
39,39,1,1,1,1,0.13991016,1,-0.24712378
40,40,1,1,1,1,0.09751526,1,-0.30279446
41,41,1,1,1,0,0.07325036,1,-0.34534043
42,42,1,1,1,0,0.14966252,1,-0.23640269
43,43,1,1,1,1,0.24500464,1,-0.15314761
44,44,1,1,1,0,0.15481114,1,-0.23097366
45,45,1,1,1,1,0.25068843,1,-0.1489985
46,46,1,1,1,1,0.15788469,1,-0.22780274
47,47,1,1,1,1,0.10749075,1,-0.28802845
48,48,1,1,1,1,0.07908303,1,-0.3340556
49,49,1,1,1,1,0.06218907,1,-0.3692316
50,50,1,1,1,0,0.05161616,0,-0.39611468
51,51,1,1,1,0,0.11687018,0,-0.27520663
52,52,0,0,1,1,0.20695724,0,-0.18280329
53,53,1,1,1,0,0.37610403,0,-0.06887184
54,54,0,0,1,1,0.5032093,0,0.0017468923
55,55,0,0,1,0,0.6576184,0,0.08881838
56,56,1,1,1,0,0.525531,0,0.013908981
57,57,0,0,1,1,0.62218237,0,0.06787896
58,58,0,0,1,1,0.7535455,0,0.15208317
59,59,0,0,1,0,0.8306892,0,0.21643578
60,60,0,0,1,1,0.7134992,0,0.12416359
61,61,0,1,0,0,0.8074799,0,0.19509839
62,62,0,0,1,1,0.8502832,0,0.23634464
63,63,0,0,1,1,0.89427835,0,0.29055616
64,64,0,0,1,1,0.9198028,0,0.33198702
65,65,0,1,0,0,0.93537545,0,0.36365035
66,66,0,0,1,1,0.9480439,0,0.39517257
67,67,0,0,1,1,0.95613694,0,0.41937107
68,68,0,0,1,1,0.9614961,0,0.43786466
69,69,0,0,1,1,0.9651623,0,0.45199826
70,70,0,0,1,1,0.96773493,0,0.4627998
71,71,0,0,1,1,0.9695763,0,0.47105482
72,72,0,0,1,0,0.9709145,0,0.47736368
73,73,0,1,0,0,0.9244171,0,0.34073186
74,74,0,0,1,1,0.93589425,0,0.36482257
75,75,0,0,1,1,0.9504104,0,0.40185577
76,76,0,0,1,0,0.95934385,0,0.43015817
77,77,0,0,1,1,0.90725374,0,0.31033483
78,78,0,0,1,0,0.93383205,0,0.36021382
79,79,0,0,1,1,0.8684969,0,0.25688025
80,80,0,1,0,1,0.9126866,0,0.31936145
81,81,1,1,1,0,0.80887085,0,0.19631933
82,82,1,1,1,0,0.8570692,0,0.24373835
83,83,0,0,1,1,0.8867005,0,0.2799781
84,84,0,1,0,0,0.917464,0,0.327729
85,85,0,1,0,0,0.93162405,0,0.35542503
86,86,0,0,1,1,0.9408916,0,0.37659156
87,87,0,0,1,1,0.9541582,0,0.41308492
88,88,0,1,0,1,0.9623334,0,0.44097477
89,89,0,0,1,1,0.9105172,0,0.31569788
90,90,0,1,0,0,0.9224851,0,0.33701253
91,91,0,1,0,1,0.9433485,0,0.38272366
92,92,0,0,1,1,0.8838848,0,0.27620482
93,93,0,0,1,1,0.8956175,0,0.29249445
94,94,0,0,1,1,0.90386593,0,0.3049437
95,95,0,1,0,0,0.90977204,0,0.31445798
96,96,0,0,1,1,0.940033,0,0.37450486
97,97,0,0,1,1,0.9429752,0,0.3817761
98,98,0,0,1,1,0.94513184,0,0.38733307
99,99,0,0,1,0,0.946728,0,0.39158
100,100,0,0,1,0,0.86552465,1,0.25337234
101,101,0,0,1,0,0.7475813,1,0.14774793
102,102,1,1,1,1,0.62070614,1,0.06702505
103,103,1,1,1,1,0.44776252,1,-0.028537761
104,104,1,1,1,1,0.321603,1,-0.10157111
105,105,1,0,0,0,0.23928846,1,-0.15738645
106,106,0,0,1,1,0.16659693,1,-0.21907847
107,107,1,1,1,1,0.28558633,1,-0.12477295
108,108,1,1,1,0,0.22611356,1,-0.1674295
109,109,0,0,1,0,0.39401677,1,-0.058576252
110,110,1,1,1,0,0.28083628,1,-0.12795708
111,111,0,1,0,1,0.41848984,1,-0.04476658
112,112,0,0,1,0,0.288792,1,-0.122641996
113,113,1,0,0,0,0.21569805,1,-0.17566592
114,114,1,1,1,1,0.16956584,1,-0.21618915
115,115,1,0,0,1,0.116492696,1,-0.275705
116,116,1,1,1,1,0.22896567,1,-0.16522136
117,117,1,1,1,0,0.17531551,1,-0.21070604
118,118,1,1,1,1,0.31769872,1,-0.10401414
119,119,1,1,1,1,0.23064695,1,-0.16392875
120,120,1,0,0,0,0.17636758,1,-0.20971817
121,121,1,0,0,0,0.12345052,1,-0.26673496
122,122,1,1,1,1,0.092761785,1,-0.3103097
123,123,1,1,1,1,0.07326853,1,-0.345304
124,124,1,1,1,1,0.06099279,1,-0.37204823
125,125,1,1,1,1,0.05293674,1,-0.39248735
126,126,1,1,1,1,0.047468435,1,-0.40810782
127,127,1,1,1,1,0.043655623,1,-0.42004567
128,128,1,0,0,0,0.040940575,1,-0.42916912
129,129,1,1,1,1,0.032340627,1,-0.4624709
130,130,1,0,0,0,0.030774975,1,-0.46944344
131,131,1,0,0,0,0.025660068,1,-0.49489415
132,132,1,1,1,1,0.022318667,1,-0.5143447
133,133,1,1,1,1,0.021479987,1,-0.5196734
134,134,1,1,1,1,0.020859886,1,-0.5237459
135,135,1,0,0,0,0.020397821,1,-0.5268582
136,136,1,1,1,1,0.018325673,1,-0.5417232
137,137,1,1,1,1,0.018013852,1,-0.5441018
138,138,1,1,1,0,0.017779062,1,-0.54591966
139,139,1,0,0,0,0.048222415,1,-0.4058556
140,140,1,0,0,0,0.04453205,1,-0.41721606
141,141,0,0,1,0,0.041894842,1,-0.42589825
142,142,1,1,1,1,0.039980736,1,-0.43253356
143,143,0,1,0,1,0.031327657,1,-0.4669437
144,144,1,1,1,1,0.02596547,1,-0.49324146
145,145,1,1,1,1,0.022480443,1,-0.5133394
146,146,1,1,1,1,0.020129256,1,-0.5286991
147,147,0,0,1,1,0.0184964,1,-0.5404377
148,148,1,1,1,1,0.04883324,1,-0.40405536
149,149,1,1,1,0,0.04586056,1,-0.4130265
150,150,1,1,1,0,0.11444792,0,-0.27842936
151,151,0,0,1,1,0.2158245,0,-0.17556423
152,152,0,0,1,0,0.37186658,0,-0.0713348
153,153,1,1,1,1,0.27322108,0,-0.13313134
154,154,1,1,1,0,0.1915257,0,-0.19597054
155,155,1,1,1,0,0.3200488,0,-0.10254174
156,156,1,1,1,1,0.44304007,0,-0.031139292
157,157,0,0,1,1,0.29581237,0,-0.11802367
158,158,0,0,1,1,0.45639,0,-0.023798032
159,159,0,0,1,1,0.5876612,0,0.048213392
160,160,0,0,1,0,0.68107915,0,0.10324773
161,161,0,0,1,1,0.5070802,0,0.0038541127
162,162,0,1,0,0,0.6247139,0,0.06934639
163,163,0,0,1,1,0.7429087,0,0.1443988
164,164,0,0,1,1,0.80673915,0,0.1944509
165,165,1,1,1,0,0.8468444,0,0.23270296
166,166,0,1,0,0,0.8939341,0,0.29006132
167,167,0,1,0,0,0.9208321,0,0.33389717
168,168,0,1,0,0,0.9370206,0,0.36739844
169,169,0,0,1,1,0.9472524,0,0.39300162
170,170,0,1,0,0,0.95701134,0,0.42223555
