,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,1,1,1,0,0.5,0,0.0
1,1,0,0,1,0,0.5,0,0.0
2,2,1,1,1,1,0.5,0,0.0
3,3,0,0,1,1,0.4663718,0,-0.076816924
4,4,0,0,1,0,0.5,0,0.0
5,5,1,1,1,0,0.49568823,0,-0.009834732
6,6,1,1,1,0,0.5,0,0.0
7,7,1,1,1,0,0.50375974,0,0.008575609
8,8,0,1,0,0,0.5070378,0,0.016053298
9,9,1,1,1,0,0.50989574,0,0.022573633
10,10,0,0,1,1,0.5123872,0,0.02825918
11,11,1,0,0,1,0.54220825,0,0.09650049
12,12,0,0,1,1,0.5679742,0,0.156005
13,13,0,1,0,1,0.59014994,0,0.20789124
14,14,1,1,1,1,0.5593596,0,0.13603196
15,15,0,0,1,1,0.53212464,0,0.073372684
16,16,0,0,1,1,0.55181843,0,0.11861603
17,17,0,0,1,1,0.5688613,0,0.15806694
18,18,0,0,1,0,0.5835917,0,0.19246703
19,19,0,1,0,1,0.5635111,0,0.14564602
20,20,0,0,1,1,0.5398168,0,0.0910089
21,21,1,1,1,1,0.5554516,0,0.12699923
22,22,1,1,1,0,0.53473675,0,0.0793572
23,23,0,1,0,0,0.55008966,0,0.114631616
24,24,1,1,1,0,0.56340057,0,0.14538991
25,25,0,0,1,0,0.5749339,0,0.17221029
26,26,1,1,1,0,0.55535483,0,0.1267759
27,27,1,1,1,1,0.5654583,0,0.15016252
28,28,0,0,1,1,0.5410055,0,0.09373806
29,29,0,0,1,1,0.5571563,0,0.13093747
30,30,0,0,1,1,0.5711426,0,0.16337432
31,31,0,0,1,1,0.583247,0,0.19165835
32,32,1,1,1,0,0.5937209,0,0.2163212
33,33,0,0,1,1,0.6053484,0,0.2439376
34,34,1,0,0,1,0.61432177,0,0.2654429
35,35,1,1,1,1,0.62208354,0,0.28419495
36,36,0,1,0,0,0.60010827,0,0.23145874
37,37,0,0,1,1,0.61301136,0,0.26229116
38,38,1,1,1,1,0.61979157,0,0.27864242
39,39,0,0,1,1,0.5989511,0,0.2287105
40,40,0,0,1,1,0.6049422,0,0.24296832
41,41,1,1,1,0,0.6101408,0,0.25540075
42,42,1,1,1,0,0.62393034,0,0.28867844
43,43,1,1,1,1,0.63579345,0,0.31769568
44,44,0,0,1,0,0.6146284,0,0.26618093
45,45,0,0,1,1,0.5868856,0,0.20020474
46,46,0,0,1,1,0.59506166,0,0.21949227
47,47,0,0,1,1,0.6021484,0,0.23631047
48,48,0,0,1,1,0.6082932,0,0.25097546
49,49,1,1,1,1,0.61362344,0,0.2637629
50,50,0,0,1,0,0.5947875,1,0.2188435
51,51,0,1,0,1,0.5667568,1,0.15317689
52,52,0,0,1,0,0.5498192,1,0.11400845
53,53,1,0,0,1,0.5248601,1,0.05674901
54,54,1,0,0,0,0.53660375,1,0.083637305
55,55,1,0,0,0,0.51326656,1,0.030266227
56,56,0,0,1,0,0.49286637,1,-0.016271848
57,57,1,1,1,1,0.47509497,1,-0.05685174
58,58,1,0,0,1,0.4601847,1,-0.09100551
59,59,0,0,1,0,0.4782792,1,-0.049573112
60,60,1,1,1,1,0.46050856,1,-0.09026215
61,61,0,0,1,1,0.44756263,1,-0.12004328
