,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,1,1,1,1,0.5,1,0.0
1,1,1,1,1,0,0.24449304,1,-0.34076896
2,2,0,0,1,0,0.3804964,1,-0.14722982
3,3,0,0,1,1,0.3804964,1,-0.14722982
4,4,1,1,1,0,0.65492535,1,0.19353914
5,5,1,1,1,1,0.7145533,1,0.27715805
6,6,1,1,1,1,0.47726816,1,-0.0274832
7,7,1,1,1,1,0.37127426,1,-0.15910399
8,8,1,0,0,0,0.32848907,1,-0.21597098
9,9,1,1,1,1,0.20492585,1,-0.4095101
10,10,1,1,1,1,0.19199008,1,-0.4340796
11,11,1,1,1,1,0.18659702,1,-0.44469488
12,12,1,0,0,0,0.18430334,1,-0.44928125
13,13,1,1,1,0,0.14625245,1,-0.53290015
14,14,0,0,1,0,0.3446456,1,-0.19411273
15,15,0,0,1,0,0.31815374,1,-0.23024043
16,16,1,0,0,0,0.30705002,1,-0.24584948
17,17,1,0,0,0,0.30232,1,-0.2525934
18,18,0,0,1,1,0.30028918,1,-0.2555071
19,19,0,0,1,0,0.5690836,1,0.08400298
20,20,0,0,1,0,0.40988326,1,-0.110080056
21,21,0,0,1,0,0.34477928,1,-0.19393398
22,22,0,0,1,0,0.31820923,1,-0.2301632
23,23,0,0,1,0,0.30707353,1,-0.2458161
24,24,0,0,1,0,0.30233005,1,-0.25257897
25,25,1,1,1,1,0.30029353,1,-0.25550088
26,26,1,1,1,0,0.18399748,1,-0.44989613
27,27,0,0,1,1,0.34539133,1,-0.193116
28,28,0,0,1,0,0.6188484,1,0.14639054
29,29,1,1,1,1,0.46060604,1,-0.047694016
30,30,0,0,1,0,0.28520194,1,-0.27752066
31,31,0,0,1,1,0.23211189,1,-0.36137524
32,32,1,1,1,1,0.45309597,1,-0.056835797
33,33,1,1,1,0,0.37357336,1,-0.1561328
34,34,0,0,1,0,0.61520594,1,0.14173472
35,35,1,0,0,0,0.44439718,1,-0.067457445
36,36,0,1,0,1,0.37225217,1,-0.15783928
37,37,1,0,0,0,0.22711137,1,-0.36991405
38,38,1,1,1,1,0.20522076,1,-0.40896368
39,39,1,1,1,1,0.16012026,1,-0.500591
40,40,1,1,1,1,0.14326915,1,-0.5401787
41,41,1,0,0,0,0.136458,1,-0.5572826
42,42,1,1,1,1,0.13000858,1,-0.5741541
43,43,0,0,1,0,0.1272663,1,-0.58154386
44,44,1,1,1,1,0.12460986,1,-0.5888332
45,45,1,1,1,1,0.12346137,1,-0.592026
46,46,1,0,0,0,0.12296799,1,-0.5934054
47,47,1,1,1,1,0.121847905,1,-0.5965548
48,48,1,1,1,1,0.121636935,1,-0.5971508
49,49,1,1,1,0,0.12154588,1,-0.5974083
50,50,1,1,1,0,0.29942486,0,-0.2567506
51,51,1,1,1,1,0.41029269,0,-0.10956886
52,52,0,0,1,1,0.21747765,0,-0.3867477
53,53,0,0,1,1,0.4608977,0,-0.047339413
54,54,1,1,1,0,0.58145916,0,0.099302515
55,55,0,0,1,1,0.7427836,0,0.32031587
56,56,0,0,1,1,0.7807849,0,0.38367277
57,57,0,0,1,1,0.79590154,0,0.41104624
58,58,0,1,0,0,0.8021884,0,0.422873
59,59,1,1,1,1,0.8476348,0,0.5183622
60,60,0,0,1,1,0.6736097,0,0.21884952
61,61,1,0,0,0,0.6773181,0,0.2239593
62,62,0,0,1,1,0.40626705,0,-0.114601985
63,63,1,1,1,0,0.565742,0,0.07989099
64,64,0,0,1,0,0.7239766,0,0.29125497
65,65,0,0,1,0,0.5285383,0,0.03451704
66,66,1,1,1,0,0.43709388,0,-0.07640703
67,67,0,0,1,1,0.51234096,0,0.014913147
68,68,1,1,1,0,0.73475987,0,0.30775717
69,69,1,1,1,0,0.7594258,0,0.3472122
70,70,0,1,0,0,0.7695854,0,0.36425883
71,71,0,0,1,0,0.7738807,0,0.37162384
72,72,0,0,1,1,0.6273914,0,0.15737866
73,73,1,1,1,1,0.7929474,0,0.4055826
74,74,0,0,1,1,0.5560428,0,0.06799573
75,75,0,0,1,1,0.64110243,0,0.17523268
76,76,1,1,1,0,0.6755829,0,0.22156458
77,77,1,1,1,0,0.7988075,0,0.41647854
78,78,0,0,1,1,0.83992445,0,0.5006915
79,79,1,1,1,0,0.8486357,0,0.5207092
80,80,0,0,1,1,0.8634682,0,0.55709356
81,81,0,0,1,1,0.8668089,0,0.5657423
82,82,0,0,1,1,0.8682307,0,0.569479
83,83,0,0,1,1,0.868841,0,0.57109344
84,84,1,1,1,0,0.8691039,0,0.57179093
85,85,1,1,1,0,0.8749118,0,0.5875109
86,86,0,0,1,1,0.877352,0,0.59430265
87,87,0,0,1,1,0.87745935,0,0.5946041
88,88,0,1,0,0,0.87750566,0,0.59473425
89,89,0,0,1,1,0.8785461,0,0.59766865
90,90,0,0,1,1,0.878566,0,0.5977249
91,91,0,0,1,1,0.8785746,0,0.59774923
92,92,0,1,0,0,0.8785783,0,0.5977597
93,93,0,0,1,1,0.87902534,0,0.5990276
94,94,0,0,1,1,0.87902695,0,0.5990321
95,95,0,0,1,1,0.87902766,0,0.5990341
96,96,0,0,1,1,0.87902796,0,0.5990349
97,97,0,0,1,1,0.8790281,0,0.59903526
98,98,0,1,0,0,0.87902814,0,0.59903544
99,99,0,0,1,1,0.87922084,0,0.5995832
100,100,0,0,1,0,0.87922084,1,0.59958327
101,101,0,0,1,1,0.7020064,1,0.25881433
102,102,0,0,1,0,0.81722087,1,0.45235348
103,103,1,1,1,1,0.65616953,1,0.19520344
104,104,1,0,0,0,0.38198107,1,-0.14532885
105,105,1,1,1,1,0.2996469,1,-0.25643098
106,106,0,0,1,0,0.20815495,1,-0.40355855
107,107,1,1,1,1,0.18317164,1,-0.4515604
108,108,1,1,1,1,0.15375361,1,-0.5151271
109,109,1,0,0,0,0.14229156,1,-0.5425912
110,110,1,1,1,1,0.13411567,1,-0.56333053
111,111,1,1,1,1,0.12961875,1,-0.57519644
112,112,1,1,1,1,0.12771589,1,-0.58032316
113,113,0,1,0,1,0.12690115,1,-0.5825381
114,114,1,1,1,1,0.12655051,1,-0.58349514
115,115,1,0,0,0,0.12639928,1,-0.5839086
116,116,1,1,1,1,0.12315965,1,-0.59286904
117,117,1,1,1,1,0.12309579,1,-0.5930477
118,118,1,0,0,0,0.12306821,1,-0.59312487
119,119,1,1,1,1,0.12169162,1,-0.59699625
120,120,1,1,1,1,0.12167982,1,-0.59702957
121,121,1,1,1,1,0.121674724,1,-0.597044
122,122,1,1,1,1,0.12167252,1,-0.5970502
123,123,1,1,1,1,0.12167157,1,-0.59705293
124,124,1,1,1,1,0.121671155,1,-0.59705406
125,125,1,1,1,1,0.121670984,1,-0.59705454
126,126,1,1,1,1,0.1216709,1,-0.5970548
127,127,1,1,1,0,0.12167087,1,-0.5970549
128,128,1,1,1,1,0.29974768,1,-0.25628597
129,129,1,1,1,1,0.18403278,1,-0.4498251
130,130,1,0,0,0,0.14602776,1,-0.53344405
131,131,1,1,1,1,0.14533855,1,-0.5351167
132,132,0,0,1,0,0.13110206,1,-0.57124436
133,133,1,1,1,0,0.13082975,1,-0.57196707
134,134,1,0,0,0,0.30637583,1,-0.24680713
135,135,1,1,1,1,0.30615622,1,-0.24711935
136,136,1,1,1,1,0.18524031,1,-0.44740242
137,137,1,1,1,1,0.14582516,1,-0.53393507
138,138,1,1,1,0,0.13107294,1,-0.5713216
139,139,1,1,1,0,0.30644727,1,-0.2467056
140,140,1,1,1,0,0.41278958,1,-0.106454685
141,141,0,0,1,1,0.46211576,1,-0.04585903
142,142,0,0,1,0,0.7262994,1,0.29477504
143,143,1,1,1,0,0.5829692,1,0.1011776
144,144,0,0,1,0,0.6038783,1,0.12735806
145,145,0,0,1,1,0.5361185,1,0.04371396
146,146,1,1,1,1,0.76010996,1,0.34834433
147,147,0,1,0,1,0.5156272,1,0.018886693
