,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,1,1,1,1,0.5,0,0.0
1,1,1,1,1,1,0.04846376,0,-0.5539801
2,2,1,1,1,0,0.03895489,0,-0.5964703
3,3,0,1,0,0,0.4388402,0,-0.04574918
4,4,1,1,1,0,0.49528557,0,-0.0035089552
5,5,0,0,1,0,0.4996384,0,-0.00026913633
6,6,1,1,1,0,0.4996384,0,-0.00026913633
7,7,0,0,1,1,0.49997225,0,-2.0642718e-05
8,8,0,0,1,1,0.9515311,0,0.5539594
9,9,0,1,0,0,0.961041,0,0.5964496
10,10,0,0,1,1,0.9610448,0,0.5964687
11,11,0,0,1,1,0.96169525,0,0.5997277
12,12,0,0,1,1,0.96174467,0,0.5999777
13,13,0,0,1,1,0.9617485,0,0.5999968
14,14,0,1,0,0,0.9617488,0,0.5999983
15,15,0,0,1,1,0.9617491,0,0.5999998
16,16,0,0,1,0,0.9617491,0,0.59999985
17,17,0,0,1,1,0.5615179,0,0.04601979
18,18,0,0,1,1,0.95240355,0,0.55750966
19,19,0,1,0,0,0.9610995,0,0.5967409
20,20,0,0,1,1,0.96109957,0,0.596741
21,21,0,0,1,1,0.96169966,0,0.59975004
22,22,0,1,0,0,0.9617453,0,0.59998083
23,23,0,0,1,0,0.9617453,0,0.59998083
24,24,1,1,1,0,0.5615161,0,0.04601844
25,25,1,1,1,0,0.5615161,0,0.04601844
26,26,0,0,1,0,0.5615161,0,0.04601844
27,27,0,0,1,1,0.50474215,0,0.0035296073
28,28,0,0,1,1,0.9516033,0,0.55425084
29,29,0,0,1,1,0.96104926,0,0.59649104
30,30,0,0,1,1,0.96169585,0,0.59973085
31,31,0,1,0,0,0.961745,0,0.59997934
32,32,0,0,1,1,0.961745,0,0.59997934
33,33,0,0,1,1,0.9617488,0,0.5999984
34,34,0,0,1,1,0.9617491,0,0.5999999
35,35,1,1,1,0,0.96174914,0,0.59999996
36,36,0,0,1,1,0.96174914,0,0.59999996
37,37,0,0,1,1,0.96174914,0,0.6
38,38,0,1,0,1,0.96174914,0,0.6
39,39,1,1,1,0,0.5615181,0,0.046019908
40,40,0,1,0,1,0.9524036,0,0.55750984
41,41,0,0,1,1,0.5572011,0,0.04276092
42,42,0,0,1,1,0.5572011,0,0.04276092
43,43,0,0,1,1,0.5572011,0,0.04276092
44,44,1,0,0,0,0.5572011,0,0.04276092
45,45,1,1,1,0,0.060230773,0,-0.51121914
46,46,0,0,1,1,0.5044065,0,0.003279756
47,47,0,0,1,1,0.9408403,0,0.5147697
48,48,0,0,1,1,0.95154136,0,0.55400085
49,49,0,0,1,1,0.95228165,0,0.5570099
50,50,0,0,1,0,0.952338,1,0.55724066
51,51,1,0,0,0,0.50440454,1,0.0032782855
52,52,1,1,1,1,0.44751167,1,-0.039210547
53,53,1,1,1,1,0.048526116,1,-0.55372864
54,54,1,1,1,1,0.039619844,1,-0.5931921
55,55,1,1,1,1,0.039005492,1,-0.59621894
56,56,1,1,1,1,0.03895875,1,-0.5964511
57,57,1,1,1,1,0.038955167,1,-0.5964689
58,58,1,0,0,0,0.03895489,1,-0.5964703
59,59,1,1,1,1,0.038304474,1,-0.5997292
60,60,1,1,1,1,0.03830445,1,-0.5997293
61,61,1,0,0,0,0.03830445,1,-0.5997293
62,62,1,1,1,1,0.038254995,1,-0.5999792
63,63,1,1,1,1,0.038254995,1,-0.5999792
64,64,1,1,1,1,0.038254995,1,-0.5999792
65,65,1,1,1,1,0.038254995,1,-0.5999792
66,66,1,1,1,1,0.038254995,1,-0.5999792
67,67,1,0,0,1,0.038254995,1,-0.5999792
68,68,0,0,1,0,0.43848404,1,-0.046018317
69,69,1,1,1,1,0.04759645,1,-0.55750966
70,70,1,1,1,1,0.04759645,1,-0.55750966
71,71,1,1,1,1,0.04759645,1,-0.55750966
72,72,1,1,1,1,0.04759645,1,-0.55750966
73,73,0,0,1,0,0.04759645,1,-0.55750966
74,74,1,0,0,0,0.03890046,1,-0.596741
75,75,1,1,1,1,0.038300343,1,-0.59975004
76,76,1,1,1,1,0.038300343,1,-0.59975004
77,77,1,1,1,1,0.038300343,1,-0.59975004
78,78,1,1,1,1,0.038300343,1,-0.59975004
79,79,1,0,0,0,0.038300343,1,-0.59975004
80,80,1,1,1,1,0.038254682,1,-0.59998083
81,81,1,1,1,1,0.038254682,1,-0.59998083
82,82,1,1,1,1,0.038254682,1,-0.59998083
83,83,1,0,0,0,0.038254682,1,-0.59998083
84,84,1,1,1,1,0.03825118,1,-0.59999853
85,85,1,1,1,1,0.03825118,1,-0.59999853
86,86,1,1,1,1,0.03825118,1,-0.59999853
87,87,1,1,1,1,0.03825118,1,-0.59999853
88,88,1,1,1,1,0.03825118,1,-0.59999853
89,89,1,1,1,1,0.03825118,1,-0.59999853
90,90,1,1,1,1,0.03825118,1,-0.59999853
91,91,1,1,1,1,0.03825118,1,-0.59999853
92,92,1,1,1,1,0.03825118,1,-0.59999853
93,93,1,0,0,0,0.03825118,1,-0.59999853
94,94,1,1,1,1,0.038250912,1,-0.5999999
95,95,1,1,1,1,0.038250912,1,-0.5999999
96,96,1,1,1,1,0.038250912,1,-0.5999999
97,97,0,0,1,0,0.038250912,1,-0.5999999
98,98,1,0,0,0,0.038250893,1,-0.59999996
99,99,1,1,1,1,0.03825089,1,-0.6
100,100,1,0,0,1,0.03825089,0,-0.6
