,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,1,1,1,0,0.5,0,0.0
1,1,1,1,1,1,0.5,0,0.0
2,2,1,1,1,1,0.40131727,0,-0.54652673
3,3,0,0,1,1,0.39278358,0,-0.59523433
4,4,0,0,1,0,0.4910892,0,-0.048707593
5,5,1,1,1,0,0.40131727,0,-0.54652673
6,6,0,0,1,0,0.49920577,0,-0.0043409215
7,7,0,0,1,0,0.4910892,0,-0.048707593
8,8,0,1,0,0,0.49036598,0,-0.052661642
9,9,0,1,0,0,0.49920577,0,-0.0043409215
10,10,1,1,1,0,0.49999368,0,-3.4478824e-05
11,11,1,1,1,1,0.5000639,0,0.00034932024
12,12,0,0,1,1,0.4013847,0,-0.54614323
13,13,0,0,1,1,0.5000057,0,3.1132142e-05
14,14,0,1,0,0,0.5089108,0,0.04870732
15,15,0,1,0,1,0.5986832,0,0.54652953
16,16,1,1,1,1,0.5081174,0,0.04436972
17,17,1,1,1,0,0.4999298,0,-0.00038380144
18,18,0,0,1,1,0.5979137,0,0.54215443
19,19,0,0,1,0,0.5986767,0,0.5464926
20,20,0,0,1,1,0.5000645,0,0.00035241726
21,21,0,0,1,1,0.5901573,0,0.49820605
22,22,0,0,1,1,0.5979878,0,0.5425758
23,23,0,0,1,0,0.5986833,0,0.5465301
24,24,0,0,1,1,0.5000651,0,0.00035576394
25,25,1,1,1,0,0.59015733,0,0.49820635
26,26,0,0,1,1,0.5986883,0,0.54655844
27,27,0,0,1,1,0.60646445,0,0.59092796
28,28,1,1,1,0,0.60715497,0,0.59488225
29,29,0,0,1,1,0.60790694,0,0.5991915
30,30,0,0,1,1,0.6079684,0,0.59954387
31,31,0,0,1,1,0.6079739,0,0.5995753
32,32,0,1,0,0,0.60797435,0,0.5995781
33,33,0,0,1,1,0.60804135,0,0.5999622
34,34,1,0,0,0,0.6080414,0,0.5999624
35,35,0,0,1,1,0.5097756,0,0.05343566
36,36,0,0,1,1,0.5995138,0,0.5512548
37,37,1,1,1,1,0.60728395,0,0.5956215
38,38,0,0,1,1,0.5089879,0,0.04912897
39,39,1,1,1,1,0.5097111,0,0.05308302
40,40,1,1,1,0,0.5008011,0,0.0043784752
41,41,1,0,0,0,0.5986894,0,0.5465646
42,42,0,0,1,1,0.5000714,0,0.00039021877
43,43,0,0,1,1,0.5901634,0,0.4982408
44,44,1,1,1,0,0.59799385,0,0.5426103
45,45,0,1,0,0,0.606465,0,0.590931
46,46,1,1,1,1,0.60721695,0,0.59523743
47,47,0,0,1,1,0.5089816,0,0.049094494
48,48,0,1,0,1,0.5097048,0,0.053048793
49,49,1,0,0,0,0.50080055,0,0.004375403
50,50,1,1,1,1,0.4021489,1,-0.54179895
51,51,0,0,1,1,0.40138584,1,-0.5461368
52,52,1,0,0,0,0.49116626,1,-0.04828624
53,53,0,0,1,0,0.40062878,1,-0.55044353
54,54,1,0,0,0,0.39279014,1,-0.59519684
55,55,1,1,1,0,0.39209417,1,-0.59918535
56,56,1,1,1,1,0.49029586,1,-0.053045172
57,57,1,1,1,1,0.40054876,1,-0.5508988
58,58,0,0,1,1,0.39277762,1,-0.59526855
59,59,0,0,1,0,0.49101794,1,-0.04909724
60,60,1,1,1,1,0.4012432,1,-0.5469481
61,61,1,1,1,1,0.40054813,1,-0.5509024
62,62,1,1,1,1,0.4004862,1,-0.5512548
63,63,1,1,1,1,0.4004807,1,-0.5512862
64,64,0,0,1,0,0.40048018,1,-0.551289
65,65,1,1,1,1,0.39270955,1,-0.59565854
66,66,1,1,1,1,0.39270952,1,-0.5956588
67,67,0,1,0,1,0.39270952,1,-0.5956588
68,68,0,0,1,0,0.39270952,1,-0.5956588
69,69,1,1,1,1,0.39201954,1,-0.59961313
70,70,1,1,1,1,0.39201954,1,-0.59961313
71,71,1,1,1,1,0.39201954,1,-0.59961313
72,72,1,0,0,1,0.39201954,1,-0.59961313
73,73,0,0,1,0,0.49022385,1,-0.05343876
74,74,1,0,0,0,0.40048012,1,-0.5512893
75,75,1,1,1,0,0.39270952,1,-0.5956588
76,76,0,0,1,0,0.49101156,1,-0.049132045
77,77,1,1,1,1,0.49028832,1,-0.053086344
78,78,0,0,1,0,0.40054756,1,-0.5509055
79,79,0,0,1,0,0.40048566,1,-0.5512579
80,80,1,1,1,1,0.40048012,1,-0.5512893
81,81,1,1,1,1,0.39271,1,-0.595656
82,82,0,0,1,1,0.39202008,1,-0.59961003
83,83,0,0,1,0,0.49028838,1,-0.053086095
84,84,1,1,1,1,0.40054756,1,-0.5509055
85,85,1,1,1,1,0.40048566,1,-0.5512579
86,86,1,0,0,1,0.40048015,1,-0.5512893
87,87,0,0,1,0,0.49101207,1,-0.049129244
88,88,0,0,1,1,0.4005481,1,-0.5509025
89,89,0,0,1,0,0.49101838,1,-0.049094766
90,90,1,1,1,1,0.40054867,1,-0.5508994
91,91,1,1,1,1,0.40054816,1,-0.5509022
92,92,1,0,0,0,0.40054813,1,-0.5509024
93,93,1,1,1,1,0.39271554,1,-0.5956243
94,94,1,1,1,1,0.3927155,1,-0.5956243
95,95,0,0,1,0,0.3927155,1,-0.5956243
96,96,0,0,1,0,0.39202008,1,-0.59961003
97,97,0,0,1,0,0.39195812,1,-0.5999653
98,98,0,0,1,0,0.3919526,1,-0.5999969
99,99,0,0,1,1,0.3919521,1,-0.5999997
100,100,1,1,1,0,0.49021757,0,-0.053473216
101,101,0,0,1,1,0.5892449,0,0.49305356
102,102,1,1,1,0,0.5978445,0,0.5417611
103,103,1,1,1,0,0.6063842,0,0.5904687
104,104,0,0,1,1,0.60714227,0,0.59480965
105,105,0,1,0,0,0.6078998,0,0.59915054
106,106,0,0,1,1,0.60796726,0,0.59953743
107,107,1,1,1,0,0.60803473,0,0.59992427
108,108,0,0,1,1,0.60804075,0,0.5999588
109,109,1,1,1,0,0.60804677,0,0.5999932
110,110,1,1,1,1,0.6080473,0,0.5999963
111,111,0,0,1,1,0.50978184,0,0.05346984
112,112,1,1,1,0,0.5097824,0,0.053472914
113,113,0,0,1,1,0.5995203,0,0.5512921
114,114,0,0,1,1,0.5995204,0,0.55129236
115,115,1,1,1,1,0.5995204,0,0.5512924
116,116,1,1,1,0,0.5089885,0,0.049132317
117,117,0,0,1,1,0.59945244,0,0.5509055
118,118,1,1,1,1,0.59945244,0,0.5509055
119,119,1,1,1,0,0.5089822,0,0.04909784
120,120,0,0,1,1,0.5994519,0,0.5509025
121,121,1,0,0,1,0.5994519,0,0.5509025
122,122,0,1,0,0,0.5994519,0,0.5509025
123,123,0,0,1,1,0.6072845,0,0.5956243
124,124,0,0,1,1,0.6072845,0,0.5956243
125,125,0,0,1,1,0.6072845,0,0.5956243
126,126,1,0,0,1,0.6072845,0,0.5956243
127,127,0,1,0,0,0.6072845,0,0.5956243
128,128,0,0,1,1,0.6079799,0,0.59961003
129,129,0,1,0,0,0.6079799,0,0.59961003
130,130,0,0,1,1,0.6080419,0,0.5999653
131,131,1,0,0,1,0.6080419,0,0.5999653
132,132,1,1,1,0,0.6080419,0,0.5999653
133,133,1,1,1,0,0.6080474,0,0.5999969
134,134,0,0,1,1,0.6080479,0,0.5999997
135,135,0,0,1,0,0.6080479,0,0.5999997
136,136,0,0,1,1,0.5097824,0,0.053472966
137,137,1,1,1,0,0.5995204,0,0.5512921
138,138,1,1,1,0,0.5995204,0,0.55129236
139,139,0,0,1,1,0.5995204,0,0.5512924
140,140,0,0,1,1,0.60729057,0,0.5956591
141,141,0,1,0,1,0.6079805,0,0.59961313
142,142,1,1,1,0,0.5097117,0,0.053086367
143,143,0,0,1,1,0.59945244,0,0.5509055
144,144,0,0,1,1,0.59951437,0,0.5512579
145,145,0,1,0,0,0.59951985,0,0.5512893
146,146,1,0,0,1,0.60729,0,0.595656
147,147,0,0,1,1,0.6072905,0,0.5956588
148,148,0,0,1,1,0.6072905,0,0.5956591
149,149,0,0,1,1,0.60729057,0,0.5956591
150,150,1,0,0,0,0.60729057,1,0.5956591
151,151,0,0,1,0,0.5089885,1,0.049132317
