,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,0,0,1,0,0.5,1,0.0
1,1,1,1,1,1,0.5,1,0.0
2,2,1,1,1,1,0.05508638,1,-0.3192644
3,3,1,1,1,1,0.015186713,1,-0.4686459
4,4,1,1,1,1,0.008209226,1,-0.53854036
5,5,1,1,1,1,0.0061484557,1,-0.5712435
6,6,1,1,1,1,0.005369663,1,-0.58654505
7,7,1,1,1,1,0.005039772,1,-0.5937045
8,8,1,1,1,0,0.0048924214,1,-0.5970544
9,9,1,0,0,1,0.07677983,1,-0.27935734
10,10,0,1,0,1,0.5878938,1,0.03990707
11,11,1,0,0,0,0.23801118,1,-0.13070925
12,12,0,0,1,0,0.06440659,1,-0.30059218
13,13,1,1,1,1,0.032812502,1,-0.38007918
14,14,1,1,1,1,0.016394882,1,-0.4599093
15,15,1,1,1,1,0.011811805,1,-0.49726123
16,16,1,1,1,1,0.0101271495,1,-0.5147379
17,17,1,1,1,1,0.009422827,1,-0.5229151
18,18,1,1,1,1,0.009110156,1,-0.5267412
19,19,1,0,0,1,0.008967413,1,-0.5285314
20,20,1,1,1,1,0.100286216,1,-0.24645832
21,21,0,0,1,0,0.09961541,1,-0.24729593
22,22,1,1,1,0,0.020456819,1,-0.43458045
23,23,1,1,1,1,0.2630709,1,-0.11570794
24,24,1,1,1,1,0.072827145,1,-0.28577426
25,25,1,1,1,1,0.037239566,1,-0.36534706
26,26,1,1,1,1,0.02701755,1,-0.40257856
27,27,1,1,1,1,0.023226505,1,-0.4199989
28,28,1,1,1,1,0.021636022,1,-0.42814976
29,29,1,1,1,1,0.020928903,1,-0.4319635
30,30,1,1,1,1,0.020605862,1,-0.43374792
31,31,1,1,1,1,0.020456396,1,-0.43458283
32,32,1,1,1,1,0.020386826,1,-0.43497348
33,33,1,1,1,1,0.020354355,1,-0.43515626
34,34,1,1,1,1,0.020339178,1,-0.4352418
35,35,1,1,1,1,0.020332081,1,-0.43528178
36,36,1,1,1,0,0.020328762,1,-0.43530053
37,37,1,1,1,1,0.26248989,1,-0.11604486
