,cell,epoch,agent,train_nlp_rnn,test_acc_rnn,test_nlp_rnn
0,5,100,0,0.7013750302791596,0.47999998927116394,0.7031865119934082
1,5,100,0,0.6893172109127045,0.5400000214576721,0.677581250667572
2,5,100,0,0.6950570327043534,0.5049999952316284,0.6929795742034912
3,5,100,0,0.6949566406011581,0.5199999809265137,0.695960521697998
4,5,100,0,0.6881076842546463,0.5249999761581421,0.6921730041503906
5,5,100,1,0.6418860512971878,0.7950000166893005,0.5750378966331482
6,5,100,1,0.5999125975370407,0.7799999713897705,0.541138231754303
7,5,100,1,0.6266827267408371,0.7149999737739563,0.5949303507804871
8,5,100,1,0.6475067365169526,0.6150000095367432,0.6506378650665283
9,5,100,1,0.6121036970615387,0.7850000262260437,0.5393480062484741
10,5,100,2,0.6513492947816849,0.7149999737739563,0.600484311580658
11,5,100,2,0.6882889211177826,0.6549999713897705,0.6609569787979126
12,5,100,2,0.6799536556005478,0.699999988079071,0.625886857509613
13,5,100,2,0.7072206342220306,0.7149999737739563,0.6571992635726929
14,5,100,2,0.6947327041625977,0.6549999713897705,0.6575987935066223
15,5,100,3,0.6931791180372238,0.47999998927116394,0.6961926221847534
16,5,100,3,0.6921580290794372,0.5049999952316284,0.6951348781585693
17,5,100,3,0.6921149390935898,0.5249999761581421,0.6918664574623108
18,5,100,3,0.6983917409181595,0.44999998807907104,0.7023251056671143
19,5,100,3,0.6939968174695968,0.5099999904632568,0.6926368474960327
20,5,100,4,0.7186958312988281,0.9649999737739563,0.5228544473648071
21,5,100,4,0.5699480047821999,0.9900000095367432,0.40960538387298584
22,5,100,4,0.5098167032003402,0.949999988079071,0.44998130202293396
23,5,100,4,0.5505038434267044,0.9649999737739563,0.3711383044719696
24,5,100,4,0.5838967680931091,0.7400000095367432,0.5547009706497192
25,5,100,5,0.6934346699714661,0.8149999976158142,0.5856739282608032
26,5,100,5,0.7078170680999756,0.7099999785423279,0.6630445718765259
27,5,100,5,0.6879137861728668,0.6850000023841858,0.6457400321960449
28,5,100,5,0.6833050984144211,0.6899999976158142,0.6533539295196533
29,5,100,5,0.6779014992713929,0.7400000095367432,0.6304336190223694
30,5,100,6,0.6961713713407517,0.49000000953674316,0.697874903678894
31,5,100,6,0.6921165996789932,0.5099999904632568,0.6949242353439331
32,5,100,6,0.6926129221916199,0.4650000035762787,0.69376540184021
33,5,100,6,0.7050669980049133,0.5299999713897705,0.6933261752128601
34,5,100,6,0.6913825088739395,0.4449999928474426,0.7064481377601624
35,5,100,7,0.6780654746294021,0.75,0.633390486240387
36,5,100,7,0.6065752416849136,0.75,0.5855180025100708
37,5,100,7,0.7166843891143799,0.4699999988079071,0.6944729089736938
38,5,100,7,0.6044441998004914,0.7699999809265137,0.554125189781189
39,5,100,7,0.600056237578392,0.7900000214576721,0.4878558814525604
40,5,100,8,0.6777675235271454,0.5400000214576721,0.6768028736114502
41,5,100,8,0.7763820225000382,0.44999998807907104,0.6900768876075745
42,5,100,8,0.6692419099807739,0.5849999785423279,0.670825719833374
43,5,100,8,0.6873096877336502,0.550000011920929,0.6771156787872314
44,5,100,8,0.6682440483570099,0.6200000047683716,0.6521154046058655
45,5,100,9,0.6717967289686203,0.7549999952316284,0.46688607335090637
46,5,100,9,0.5801762515306472,0.8650000095367432,0.5011928677558899
47,5,100,9,0.4223345172405243,0.9449999928474426,0.28845492005348206
48,5,100,9,0.8259849679470063,0.8600000143051147,0.5323590636253357
49,5,100,9,0.5423274937272072,0.9800000190734863,0.3774071931838989
50,5,100,10,0.6925029194355011,0.6100000143051147,0.6874736547470093
51,5,100,10,0.6869411045312881,0.5400000214576721,0.7047105431556702
52,5,100,10,0.715369638800621,0.5899999737739563,0.6790217757225037
53,5,100,10,0.687423620223999,0.5099999904632568,0.6919823288917542
54,5,100,10,0.6932518076896668,0.5350000262260437,0.6869556903839111
55,5,100,11,0.5786306101083756,0.8799999952316284,0.5531689524650574
56,5,100,11,0.7205969095230103,0.4699999988079071,0.6354140639305115
57,5,100,11,0.6489229631423951,0.1850000023841858,0.800351083278656
58,5,100,11,0.611274760067463,0.9549999833106995,0.5180440545082092
59,5,100,11,0.7098395323753357,0.5899999737739563,0.6677764654159546
60,5,100,12,0.6968036228418351,0.550000011920929,0.687462568283081
61,5,100,12,0.6938111358880996,0.4650000035762787,0.6992425322532654
62,5,100,12,0.6903629982471466,0.5,0.6976099610328674
63,5,100,12,0.6905222350358963,0.49000000953674316,0.6919344067573547
64,5,100,12,0.6937292981147766,0.5,0.6926352977752686
65,5,100,13,0.5655410766601563,0.9599999785423279,0.39325186610221863
66,5,100,13,0.5880952492356301,0.8650000095367432,0.5250900387763977
67,5,100,13,0.5580834996700287,0.9350000023841858,0.4359223246574402
68,5,100,13,0.605277958214283,0.824999988079071,0.5210827589035034
69,5,100,13,0.5523727643489837,0.9049999713897705,0.48552244901657104
70,5,100,14,0.6741612994670868,0.6000000238418579,0.6681013703346252
71,5,100,14,0.6387204098701477,0.39500001072883606,0.7456179261207581
72,5,100,14,0.6654602700471878,0.7950000166893005,0.6015108823776245
73,5,100,14,0.6105201119184493,0.7950000166893005,0.6280210614204407
74,5,100,14,0.6410614562034607,0.7649999856948853,0.5965507626533508
75,5,100,15,0.6922355252504349,0.6899999976158142,0.6586292386054993
76,5,100,15,0.6489910793304443,0.6650000214576721,0.6132497191429138
77,5,100,15,0.75068313062191,0.26499998569488525,0.7175436615943909
78,5,100,15,0.6269422340393066,0.12999999523162842,0.9488591551780701
79,5,100,15,0.6496647256612778,0.4699999988079071,0.7306133508682251
80,5,100,16,0.5645174762606621,0.9150000214576721,0.5190427303314209
81,5,100,16,0.5742460986971856,0.9300000071525574,0.5684225559234619
82,5,100,16,0.6275699412822724,0.9150000214576721,0.5149803161621094
83,5,100,16,0.562425245642662,0.9399999976158142,0.46837109327316284
84,5,100,16,0.5320250475406647,0.9649999737739563,0.5089541077613831
85,5,100,17,0.6098596566915512,0.7850000262260437,0.617332935333252
86,5,100,17,0.7382178217172622,0.7850000262260437,0.659669816493988
87,5,100,17,0.5644642046093941,0.8999999761581421,0.4115373194217682
88,5,100,17,0.6047434663772583,0.8650000095367432,0.4888013005256653
89,5,100,17,0.6596882522106171,0.8600000143051147,0.5788918137550354
90,5,100,18,0.6729441910982132,0.6050000190734863,0.6586587429046631
91,5,100,18,0.7067833459377288,0.550000011920929,0.6903823018074036
92,5,100,18,0.6858816504478454,0.5849999785423279,0.685993492603302
93,5,100,18,0.6867241996526718,0.5849999785423279,0.6736153960227966
94,5,100,18,0.6918530666828155,0.5649999976158142,0.6812868714332581
95,5,100,19,0.6202411681413651,0.800000011920929,0.5486890077590942
96,5,100,19,0.68139289021492,0.7099999785423279,0.6464502811431885
97,5,100,19,0.6419120013713837,0.7799999713897705,0.5845823884010315
98,5,100,19,0.6904103833436966,0.6650000214576721,0.6679443120956421
99,5,100,19,0.6583499336242675,0.8100000023841858,0.5259116291999817
100,5,100,20,0.712604683637619,0.9350000023841858,0.5352354049682617
101,5,100,20,0.6885423654317856,0.8199999928474426,0.5814340114593506
102,5,100,20,0.6918336516618728,0.9850000143051147,0.5902596712112427
103,5,100,20,0.5690838983654976,0.9850000143051147,0.3843616545200348
104,5,100,20,0.5859151098132134,0.9649999737739563,0.42631232738494873
105,5,100,21,0.6739330250024795,0.6499999761581421,0.6662192344665527
