,action_stage_1,transition_type,reward,prev_reward,transition_prev,stay
0,0.0,1.0,0.0,0.0,0.0,False
1,0.0,1.0,1.0,0.0,1.0,True
2,0.0,1.0,1.0,1.0,1.0,True
3,1.0,1.0,0.0,1.0,1.0,False
4,1.0,0.0,0.0,0.0,1.0,True
5,1.0,1.0,1.0,0.0,0.0,True
6,0.0,1.0,1.0,1.0,1.0,False
7,0.0,1.0,1.0,1.0,1.0,True
8,0.0,1.0,1.0,1.0,1.0,True
9,0.0,1.0,1.0,1.0,1.0,True
10,0.0,1.0,1.0,1.0,1.0,True
11,0.0,0.0,0.0,1.0,1.0,True
12,1.0,0.0,1.0,0.0,0.0,False
13,0.0,0.0,0.0,1.0,0.0,False
14,0.0,1.0,1.0,0.0,0.0,True
15,0.0,1.0,1.0,1.0,1.0,True
16,1.0,1.0,0.0,1.0,1.0,False
17,1.0,1.0,0.0,0.0,1.0,True
18,1.0,1.0,1.0,0.0,1.0,True
19,0.0,1.0,1.0,1.0,1.0,False
20,1.0,1.0,0.0,1.0,1.0,False
21,1.0,0.0,0.0,0.0,1.0,True
22,0.0,1.0,1.0,0.0,0.0,False
23,0.0,1.0,1.0,1.0,1.0,True
24,1.0,1.0,0.0,1.0,1.0,False
25,1.0,1.0,0.0,0.0,1.0,True
26,1.0,1.0,0.0,0.0,1.0,True
27,1.0,1.0,0.0,0.0,1.0,True
28,1.0,1.0,0.0,0.0,1.0,True
29,0.0,1.0,1.0,0.0,1.0,False
30,0.0,1.0,1.0,1.0,1.0,True
31,0.0,1.0,1.0,1.0,1.0,True
32,1.0,1.0,0.0,1.0,1.0,False
33,1.0,1.0,0.0,0.0,1.0,True
34,0.0,0.0,0.0,0.0,1.0,False
35,0.0,0.0,0.0,0.0,0.0,True
36,0.0,1.0,1.0,0.0,0.0,True
37,0.0,1.0,1.0,1.0,1.0,True
38,0.0,1.0,0.0,1.0,1.0,True
39,0.0,1.0,1.0,0.0,1.0,True
40,0.0,1.0,1.0,1.0,1.0,True
41,1.0,1.0,0.0,1.0,1.0,False
42,1.0,1.0,0.0,0.0,1.0,True
43,0.0,1.0,1.0,0.0,1.0,False
44,0.0,1.0,1.0,1.0,1.0,True
45,0.0,1.0,1.0,1.0,1.0,True
46,0.0,0.0,0.0,1.0,1.0,True
47,1.0,1.0,0.0,0.0,0.0,False
48,1.0,1.0,1.0,0.0,1.0,True
49,1.0,1.0,0.0,1.0,1.0,True
