,action_stage_1,transition_type,reward,prev_reward,transition_prev,stay
132,1.0,1.0,1.0,0.0,0.0,True
133,1.0,1.0,1.0,1.0,1.0,True
134,1.0,0.0,0.0,1.0,1.0,True
135,1.0,1.0,1.0,0.0,0.0,True
136,0.0,1.0,0.0,1.0,1.0,False
137,0.0,1.0,0.0,0.0,1.0,True
138,1.0,1.0,1.0,0.0,1.0,False
139,1.0,1.0,1.0,1.0,1.0,True
140,1.0,1.0,1.0,1.0,1.0,True
141,1.0,1.0,1.0,1.0,1.0,True
142,1.0,1.0,1.0,1.0,1.0,True
143,1.0,1.0,0.0,1.0,1.0,True
144,1.0,1.0,1.0,0.0,1.0,True
145,1.0,1.0,0.0,1.0,1.0,True
146,1.0,1.0,0.0,0.0,1.0,True
147,1.0,1.0,1.0,0.0,1.0,True
148,0.0,1.0,0.0,1.0,1.0,False
149,1.0,0.0,0.0,0.0,1.0,False
150,1.0,1.0,1.0,0.0,0.0,True
151,0.0,1.0,0.0,1.0,1.0,False
152,1.0,1.0,1.0,0.0,1.0,False
153,1.0,1.0,0.0,1.0,1.0,True
154,1.0,1.0,1.0,0.0,1.0,True
155,1.0,1.0,1.0,1.0,1.0,True
156,1.0,1.0,1.0,1.0,1.0,True
157,1.0,1.0,1.0,1.0,1.0,True
158,1.0,1.0,0.0,1.0,1.0,True
159,1.0,1.0,0.0,0.0,1.0,True
160,1.0,1.0,0.0,0.0,1.0,True
161,1.0,1.0,0.0,0.0,1.0,True
162,1.0,1.0,1.0,0.0,1.0,True
163,1.0,0.0,0.0,1.0,1.0,True
164,1.0,1.0,1.0,0.0,0.0,True
165,1.0,0.0,1.0,1.0,1.0,True
166,1.0,1.0,1.0,1.0,0.0,True
167,1.0,1.0,0.0,1.0,1.0,True
168,1.0,1.0,1.0,0.0,1.0,True
169,1.0,1.0,0.0,1.0,1.0,True
170,1.0,0.0,0.0,0.0,1.0,True
171,0.0,1.0,1.0,0.0,0.0,False
172,1.0,1.0,1.0,1.0,1.0,False
173,1.0,1.0,1.0,1.0,1.0,True
174,1.0,1.0,0.0,1.0,1.0,True
175,0.0,1.0,1.0,0.0,1.0,False
176,1.0,0.0,0.0,1.0,1.0,False
177,0.0,0.0,1.0,0.0,0.0,False
178,1.0,1.0,1.0,1.0,0.0,False
179,1.0,1.0,1.0,1.0,1.0,True
180,1.0,0.0,1.0,1.0,1.0,True
181,1.0,0.0,0.0,1.0,0.0,True
182,1.0,1.0,0.0,0.0,0.0,True
183,0.0,1.0,0.0,0.0,1.0,False
184,1.0,1.0,1.0,0.0,1.0,False
185,0.0,0.0,0.0,1.0,1.0,False
186,1.0,0.0,0.0,0.0,0.0,False
187,0.0,1.0,0.0,0.0,0.0,False
188,1.0,1.0,1.0,0.0,1.0,False
189,1.0,0.0,0.0,1.0,1.0,True
190,1.0,1.0,1.0,0.0,0.0,True
191,1.0,1.0,1.0,1.0,1.0,True
192,1.0,1.0,1.0,1.0,1.0,True
193,1.0,1.0,1.0,1.0,1.0,True
194,1.0,1.0,1.0,1.0,1.0,True
195,1.0,1.0,1.0,1.0,1.0,True
196,1.0,1.0,1.0,1.0,1.0,True
197,1.0,1.0,1.0,1.0,1.0,True
198,1.0,1.0,0.0,1.0,1.0,True
199,1.0,0.0,1.0,0.0,1.0,True
200,1.0,1.0,0.0,1.0,0.0,True
201,1.0,1.0,0.0,0.0,1.0,True
202,1.0,1.0,0.0,0.0,1.0,True
203,1.0,0.0,0.0,0.0,1.0,True
204,1.0,1.0,0.0,0.0,0.0,True
205,1.0,1.0,1.0,0.0,1.0,True
206,1.0,1.0,1.0,1.0,1.0,True
207,1.0,1.0,0.0,1.0,1.0,True
208,0.0,0.0,0.0,0.0,1.0,False
209,1.0,1.0,0.0,0.0,0.0,False
210,1.0,1.0,0.0,0.0,1.0,True
211,1.0,1.0,0.0,0.0,1.0,True
212,1.0,1.0,0.0,0.0,1.0,True
213,1.0,1.0,0.0,0.0,1.0,True
214,1.0,0.0,0.0,0.0,1.0,True
215,1.0,1.0,0.0,0.0,0.0,True
216,1.0,1.0,1.0,0.0,1.0,True
217,1.0,1.0,0.0,1.0,1.0,True
218,1.0,0.0,1.0,0.0,1.0,True
219,1.0,1.0,1.0,1.0,0.0,True
220,1.0,1.0,0.0,1.0,1.0,True
221,1.0,1.0,1.0,0.0,1.0,True
222,1.0,1.0,0.0,1.0,1.0,True
223,1.0,1.0,0.0,0.0,1.0,True
224,1.0,1.0,0.0,0.0,1.0,True
225,1.0,1.0,0.0,0.0,1.0,True
226,1.0,1.0,0.0,0.0,1.0,True
227,1.0,1.0,0.0,0.0,1.0,True
228,1.0,1.0,0.0,0.0,1.0,True
229,1.0,1.0,1.0,0.0,1.0,True
230,0.0,1.0,1.0,1.0,1.0,False
231,1.0,0.0,1.0,1.0,1.0,False
232,0.0,0.0,0.0,1.0,0.0,False
233,1.0,1.0,0.0,0.0,0.0,False
234,1.0,0.0,1.0,0.0,1.0,True
235,1.0,1.0,0.0,1.0,0.0,True
236,1.0,1.0,0.0,0.0,1.0,True
237,1.0,1.0,0.0,0.0,1.0,True
238,1.0,1.0,0.0,0.0,1.0,True
239,1.0,1.0,0.0,0.0,1.0,True
240,1.0,1.0,1.0,0.0,1.0,True
241,1.0,1.0,0.0,1.0,1.0,True
242,0.0,1.0,1.0,0.0,1.0,False
243,1.0,1.0,0.0,1.0,1.0,False
244,0.0,0.0,0.0,0.0,1.0,False
245,1.0,0.0,1.0,0.0,0.0,False
246,1.0,0.0,1.0,1.0,0.0,True
247,1.0,0.0,1.0,1.0,0.0,True
248,0.0,0.0,0.0,1.0,0.0,False
249,0.0,1.0,1.0,0.0,0.0,True
250,0.0,1.0,1.0,1.0,1.0,True
251,0.0,1.0,1.0,1.0,1.0,True
252,0.0,1.0,1.0,1.0,1.0,True
253,0.0,0.0,0.0,1.0,1.0,True
254,0.0,1.0,1.0,0.0,0.0,True
255,0.0,1.0,1.0,1.0,1.0,True
256,0.0,1.0,1.0,1.0,1.0,True
257,0.0,1.0,1.0,1.0,1.0,True
258,0.0,1.0,0.0,1.0,1.0,True
259,0.0,1.0,0.0,0.0,1.0,True
260,1.0,0.0,1.0,0.0,1.0,False
261,0.0,1.0,1.0,1.0,0.0,False
262,0.0,0.0,0.0,1.0,1.0,True
263,0.0,1.0,1.0,0.0,0.0,True
264,1.0,0.0,1.0,1.0,1.0,False
265,0.0,1.0,1.0,1.0,0.0,False
266,0.0,1.0,1.0,1.0,1.0,True
267,0.0,0.0,1.0,1.0,1.0,True
268,0.0,1.0,1.0,1.0,0.0,True
269,0.0,1.0,1.0,1.0,1.0,True
270,0.0,1.0,1.0,1.0,1.0,True
271,1.0,0.0,1.0,1.0,1.0,False
272,0.0,0.0,1.0,1.0,0.0,False
273,0.0,0.0,0.0,1.0,0.0,True
274,1.0,0.0,1.0,0.0,0.0,False
275,0.0,0.0,0.0,1.0,0.0,False
276,1.0,1.0,0.0,0.0,0.0,False
277,1.0,1.0,1.0,0.0,1.0,True
278,0.0,0.0,0.0,1.0,1.0,False
279,0.0,1.0,1.0,0.0,0.0,True
280,0.0,1.0,0.0,1.0,1.0,True
281,0.0,1.0,1.0,0.0,1.0,True
282,1.0,1.0,0.0,1.0,1.0,False
283,1.0,1.0,0.0,0.0,1.0,True
284,1.0,1.0,0.0,0.0,1.0,True
285,1.0,1.0,1.0,0.0,1.0,True
286,1.0,1.0,0.0,1.0,1.0,True
287,0.0,1.0,0.0,0.0,1.0,False
288,0.0,1.0,1.0,0.0,1.0,True
289,0.0,1.0,1.0,1.0,1.0,True
290,0.0,1.0,1.0,1.0,1.0,True
291,0.0,1.0,1.0,1.0,1.0,True
292,0.0,1.0,1.0,1.0,1.0,True
293,1.0,1.0,1.0,1.0,1.0,False
294,0.0,1.0,1.0,1.0,1.0,False
295,1.0,0.0,1.0,1.0,1.0,False
296,1.0,1.0,0.0,1.0,0.0,True
297,1.0,1.0,0.0,0.0,1.0,True
298,0.0,1.0,1.0,0.0,1.0,False
299,0.0,1.0,1.0,1.0,1.0,True
300,0.0,0.0,0.0,1.0,1.0,True
301,0.0,1.0,0.0,0.0,0.0,True
302,0.0,0.0,1.0,0.0,1.0,True
303,0.0,1.0,0.0,1.0,0.0,True
304,0.0,1.0,1.0,0.0,1.0,True
305,0.0,1.0,0.0,1.0,1.0,True
306,0.0,1.0,0.0,0.0,1.0,True
307,0.0,1.0,0.0,0.0,1.0,True
308,0.0,1.0,1.0,0.0,1.0,True
309,0.0,1.0,0.0,1.0,1.0,True
310,0.0,0.0,0.0,0.0,1.0,True
311,0.0,1.0,0.0,0.0,0.0,True
312,0.0,1.0,0.0,0.0,1.0,True
313,1.0,1.0,0.0,0.0,1.0,False
314,0.0,0.0,0.0,0.0,1.0,False
315,0.0,1.0,0.0,0.0,0.0,True
316,0.0,1.0,0.0,0.0,1.0,True
317,1.0,0.0,0.0,0.0,1.0,False
318,0.0,0.0,1.0,0.0,0.0,False
319,1.0,0.0,0.0,1.0,0.0,False
320,1.0,0.0,0.0,0.0,0.0,True
321,1.0,0.0,0.0,0.0,0.0,True
322,1.0,0.0,1.0,0.0,0.0,True
323,1.0,1.0,1.0,1.0,0.0,True
324,1.0,0.0,0.0,1.0,1.0,True
325,1.0,1.0,1.0,0.0,0.0,True
326,1.0,0.0,0.0,1.0,1.0,True
327,1.0,1.0,1.0,0.0,0.0,True
328,1.0,0.0,0.0,1.0,1.0,True
329,1.0,1.0,1.0,0.0,0.0,True
330,1.0,1.0,1.0,1.0,1.0,True
331,1.0,1.0,1.0,1.0,1.0,True
332,1.0,1.0,1.0,1.0,1.0,True
333,1.0,1.0,1.0,1.0,1.0,True
334,0.0,1.0,0.0,1.0,1.0,False
335,1.0,1.0,1.0,0.0,1.0,False
336,1.0,0.0,0.0,1.0,1.0,True
337,0.0,1.0,0.0,0.0,0.0,False
338,1.0,1.0,1.0,0.0,1.0,False
339,1.0,1.0,1.0,1.0,1.0,True
340,1.0,1.0,1.0,1.0,1.0,True
341,1.0,1.0,1.0,1.0,1.0,True
342,0.0,1.0,0.0,1.0,1.0,False
343,1.0,0.0,0.0,0.0,1.0,False
344,1.0,1.0,1.0,0.0,0.0,True
345,1.0,1.0,1.0,1.0,1.0,True
346,1.0,1.0,1.0,1.0,1.0,True
347,1.0,0.0,0.0,1.0,1.0,True
348,1.0,1.0,0.0,0.0,0.0,True
349,1.0,0.0,0.0,0.0,1.0,True
350,1.0,1.0,1.0,0.0,0.0,True
351,1.0,1.0,1.0,1.0,1.0,True
352,1.0,1.0,1.0,1.0,1.0,True
353,1.0,1.0,1.0,1.0,1.0,True
354,1.0,1.0,1.0,1.0,1.0,True
355,1.0,1.0,1.0,1.0,1.0,True
356,1.0,1.0,1.0,1.0,1.0,True
357,1.0,0.0,0.0,1.0,1.0,True
358,1.0,1.0,1.0,0.0,0.0,True
359,0.0,1.0,0.0,1.0,1.0,False
360,1.0,1.0,1.0,0.0,1.0,False
361,1.0,1.0,1.0,1.0,1.0,True
362,1.0,1.0,1.0,1.0,1.0,True
363,1.0,1.0,1.0,1.0,1.0,True
364,1.0,1.0,1.0,1.0,1.0,True
365,1.0,1.0,0.0,1.0,1.0,True
366,1.0,0.0,0.0,0.0,1.0,True
367,1.0,0.0,0.0,0.0,0.0,True
368,1.0,1.0,0.0,0.0,0.0,True
369,1.0,1.0,1.0,0.0,1.0,True
370,1.0,1.0,0.0,1.0,1.0,True
371,1.0,1.0,1.0,0.0,1.0,True
372,1.0,1.0,1.0,1.0,1.0,True
373,1.0,0.0,0.0,1.0,1.0,True
374,1.0,0.0,0.0,0.0,0.0,True
375,1.0,1.0,1.0,0.0,0.0,True
376,1.0,1.0,1.0,1.0,1.0,True
377,1.0,0.0,0.0,1.0,1.0,True
378,1.0,1.0,1.0,0.0,0.0,True
379,1.0,0.0,0.0,1.0,1.0,True
380,1.0,0.0,0.0,0.0,0.0,True
381,1.0,0.0,0.0,0.0,0.0,True
382,1.0,1.0,0.0,0.0,0.0,True
383,0.0,0.0,1.0,0.0,1.0,False
384,1.0,1.0,1.0,1.0,0.0,False
385,1.0,1.0,1.0,1.0,1.0,True
386,1.0,1.0,1.0,1.0,1.0,True
387,1.0,1.0,1.0,1.0,1.0,True
388,1.0,1.0,1.0,1.0,1.0,True
389,1.0,0.0,0.0,1.0,1.0,True
390,1.0,1.0,0.0,0.0,0.0,True
391,1.0,1.0,1.0,0.0,1.0,True
392,1.0,1.0,1.0,1.0,1.0,True
393,1.0,1.0,1.0,1.0,1.0,True
394,1.0,1.0,1.0,1.0,1.0,True
395,1.0,1.0,1.0,1.0,1.0,True
396,1.0,1.0,1.0,1.0,1.0,True
397,1.0,1.0,1.0,1.0,1.0,True
398,1.0,1.0,1.0,1.0,1.0,True
399,1.0,1.0,0.0,1.0,1.0,True
