,action_stage_1,transition_type,reward,prev_reward,transition_prev,stay
0,1.0,1.0,0.0,0.0,0.0,False
1,0.0,1.0,1.0,0.0,1.0,False
2,1.0,1.0,0.0,1.0,1.0,False
3,1.0,0.0,0.0,0.0,1.0,True
4,1.0,0.0,1.0,0.0,0.0,True
5,0.0,1.0,0.0,1.0,0.0,False
6,0.0,1.0,1.0,0.0,1.0,True
7,0.0,1.0,1.0,1.0,1.0,True
8,0.0,1.0,1.0,1.0,1.0,True
9,0.0,1.0,1.0,1.0,1.0,True
10,0.0,0.0,0.0,1.0,1.0,True
11,0.0,1.0,0.0,0.0,0.0,True
12,0.0,1.0,0.0,0.0,1.0,True
13,0.0,1.0,1.0,0.0,1.0,True
14,0.0,1.0,1.0,1.0,1.0,True
15,0.0,1.0,1.0,1.0,1.0,True
16,0.0,1.0,1.0,1.0,1.0,True
17,0.0,1.0,1.0,1.0,1.0,True
18,0.0,1.0,1.0,1.0,1.0,True
19,1.0,1.0,1.0,1.0,1.0,False
20,0.0,1.0,1.0,1.0,1.0,False
21,0.0,0.0,0.0,1.0,1.0,True
22,0.0,1.0,1.0,0.0,0.0,True
23,0.0,1.0,1.0,1.0,1.0,True
24,0.0,1.0,1.0,1.0,1.0,True
25,1.0,1.0,0.0,1.0,1.0,False
26,0.0,1.0,0.0,0.0,1.0,False
27,0.0,1.0,1.0,0.0,1.0,True
28,1.0,1.0,0.0,1.0,1.0,False
29,0.0,1.0,1.0,0.0,1.0,False
30,0.0,1.0,1.0,1.0,1.0,True
31,1.0,0.0,1.0,1.0,1.0,False
32,0.0,1.0,0.0,1.0,0.0,False
33,0.0,0.0,0.0,0.0,1.0,True
34,0.0,1.0,1.0,0.0,0.0,True
35,1.0,1.0,0.0,1.0,1.0,False
36,0.0,1.0,0.0,0.0,1.0,False
37,0.0,1.0,1.0,0.0,1.0,True
38,0.0,1.0,1.0,1.0,1.0,True
39,0.0,1.0,1.0,1.0,1.0,True
40,0.0,1.0,1.0,1.0,1.0,True
41,0.0,1.0,1.0,1.0,1.0,True
42,0.0,0.0,0.0,1.0,1.0,True
43,0.0,1.0,1.0,0.0,0.0,True
44,0.0,1.0,1.0,1.0,1.0,True
45,0.0,1.0,1.0,1.0,1.0,True
46,0.0,1.0,1.0,1.0,1.0,True
47,0.0,1.0,1.0,1.0,1.0,True
48,0.0,1.0,1.0,1.0,1.0,True
49,0.0,1.0,1.0,1.0,1.0,True
50,0.0,0.0,0.0,1.0,1.0,True
51,0.0,1.0,1.0,0.0,0.0,True
52,0.0,1.0,1.0,1.0,1.0,True
53,0.0,1.0,1.0,1.0,1.0,True
54,0.0,1.0,1.0,1.0,1.0,True
55,0.0,1.0,1.0,1.0,1.0,True
56,0.0,1.0,1.0,1.0,1.0,True
57,0.0,1.0,1.0,1.0,1.0,True
58,0.0,1.0,1.0,1.0,1.0,True
59,0.0,1.0,1.0,1.0,1.0,True
60,0.0,1.0,1.0,1.0,1.0,True
61,0.0,1.0,1.0,1.0,1.0,True
62,0.0,1.0,1.0,1.0,1.0,True
63,0.0,1.0,1.0,1.0,1.0,True
64,0.0,0.0,0.0,1.0,1.0,True
65,0.0,1.0,1.0,0.0,0.0,True
66,0.0,0.0,1.0,1.0,1.0,True
67,0.0,1.0,1.0,1.0,0.0,True
68,1.0,1.0,0.0,1.0,1.0,False
69,0.0,1.0,0.0,0.0,1.0,False
70,0.0,1.0,0.0,0.0,1.0,True
71,0.0,1.0,1.0,0.0,1.0,True
72,0.0,1.0,0.0,1.0,1.0,True
73,1.0,1.0,0.0,0.0,1.0,False
74,0.0,1.0,1.0,0.0,1.0,False
75,1.0,1.0,0.0,1.0,1.0,False
76,0.0,0.0,0.0,0.0,1.0,False
77,1.0,1.0,1.0,0.0,0.0,False
78,0.0,0.0,0.0,1.0,1.0,False
79,1.0,1.0,0.0,0.0,0.0,False
80,1.0,0.0,1.0,0.0,1.0,True
81,0.0,1.0,1.0,1.0,0.0,False
82,1.0,0.0,0.0,1.0,1.0,False
83,1.0,0.0,1.0,0.0,0.0,True
84,1.0,1.0,0.0,1.0,0.0,True
85,0.0,0.0,0.0,0.0,1.0,False
86,0.0,0.0,0.0,0.0,0.0,True
87,0.0,0.0,1.0,0.0,0.0,True
88,1.0,1.0,0.0,1.0,0.0,False
89,1.0,0.0,1.0,0.0,1.0,True
90,1.0,1.0,0.0,1.0,0.0,True
91,1.0,1.0,0.0,0.0,1.0,True
92,1.0,1.0,0.0,0.0,1.0,True
93,1.0,1.0,0.0,0.0,1.0,True
94,1.0,0.0,0.0,0.0,1.0,True
95,1.0,1.0,0.0,0.0,0.0,True
96,1.0,1.0,1.0,0.0,1.0,True
97,1.0,1.0,0.0,1.0,1.0,True
98,0.0,1.0,1.0,0.0,1.0,False
99,1.0,0.0,0.0,1.0,1.0,False
100,1.0,0.0,0.0,0.0,0.0,True
101,1.0,1.0,1.0,0.0,0.0,True
102,1.0,1.0,1.0,1.0,1.0,True
103,1.0,1.0,1.0,1.0,1.0,True
104,1.0,1.0,1.0,1.0,1.0,True
105,1.0,1.0,1.0,1.0,1.0,True
106,1.0,1.0,0.0,1.0,1.0,True
107,0.0,0.0,0.0,0.0,1.0,False
108,0.0,1.0,0.0,0.0,0.0,True
109,0.0,1.0,0.0,0.0,1.0,True
110,1.0,0.0,0.0,0.0,1.0,False
111,1.0,1.0,1.0,0.0,0.0,True
112,1.0,1.0,1.0,1.0,1.0,True
113,1.0,1.0,1.0,1.0,1.0,True
114,1.0,1.0,1.0,1.0,1.0,True
115,1.0,0.0,0.0,1.0,1.0,True
116,1.0,1.0,1.0,0.0,0.0,True
117,1.0,1.0,1.0,1.0,1.0,True
118,1.0,1.0,1.0,1.0,1.0,True
119,1.0,1.0,0.0,1.0,1.0,True
120,1.0,0.0,1.0,0.0,1.0,True
121,1.0,0.0,0.0,1.0,0.0,True
122,1.0,1.0,1.0,0.0,0.0,True
123,1.0,1.0,1.0,1.0,1.0,True
124,1.0,1.0,1.0,1.0,1.0,True
125,1.0,1.0,1.0,1.0,1.0,True
126,1.0,1.0,1.0,1.0,1.0,True
127,1.0,1.0,0.0,1.0,1.0,True
128,1.0,0.0,0.0,0.0,1.0,True
129,1.0,1.0,1.0,0.0,0.0,True
130,1.0,0.0,0.0,1.0,1.0,True
131,1.0,1.0,0.0,0.0,0.0,True
132,1.0,1.0,1.0,0.0,1.0,True
133,1.0,1.0,1.0,1.0,1.0,True
134,1.0,1.0,1.0,1.0,1.0,True
135,1.0,1.0,1.0,1.0,1.0,True
136,1.0,1.0,1.0,1.0,1.0,True
137,1.0,1.0,1.0,1.0,1.0,True
