,agent,fit_parameters_hybrid,train_nlp_hybrid,test_acc_hybrid,test_nlp_hybrid,fit_parameters_wsls,train_nlp_wsls,test_acc_wsls,test_nlp_wsls,fit_parameters_logistic_regression,train_nlp_logistic_regression,test_acc_logistic_regression,test_nlp_logistic_regression,train_acc_rnn,train_nlp_rnn,test_acc_rnn,test_nlp_rnn
0,0,[0.32125627 7.14389061 0.99613887],0.4299602678956562,0.78,0.4737951442149383,[0.87557605 0.28787854],0.4612585828133512,0.66,0.675323896451389,"[array([1.27241606]), array([[0.40178921, 0.60217775, 1.33477102]])]",0.42423758577103726,0.673469387755102,0.6240927457149446,0.8028571605682373,0.42685702443122864,0.7200000286102295,0.5758795738220215
1,0,[0.35504489 7.57839134 0.90991614],0.4037029446107111,0.88,0.22977057012537933,[0.84951457 0.32167827],0.5079049489983143,0.92,0.3163558071365086,"[array([1.1460392]), array([[0.30967887, 0.35788984, 1.38133829]])]",0.4694515073918518,0.9387755102040817,0.26579127624424037,0.7857142686843872,0.4595644176006317,0.8999999761581421,0.2820191979408264
2,0,[0.31684075 7.56411237 0.85721566],0.3849103442735805,0.92,0.24745706241008217,[0.84976533 0.3088235 ],0.49967436539082877,0.88,0.3856571223435534,"[array([1.19481021]), array([[0.14363342, 0.21281783, 1.48933984]])]",0.4590114276106325,0.8775510204081632,0.3656009844349768,0.7742857336997986,0.4624974727630615,0.8399999737739563,0.4246135652065277
3,0,[0.29010475 7.30749722 0.96074343],0.41888587001871824,0.8,0.40801745496974556,[0.87906981 0.28358205],0.45681254324597653,0.66,0.7088199102773314,"[array([1.34340632]), array([[0.35748562, 0.19505759, 1.29666567]])]",0.42873657301482726,0.673469387755102,0.5904045747119273,0.8142856955528259,0.4349614977836609,0.699999988079071,0.5434781312942505
4,0,[0.25488602 7.90076899 0.87099798],0.4453205543261884,0.88,0.28592060978801276,[0.84433965 0.29197074],0.5002794354177524,0.84,0.4169991452292699,"[array([1.19312286]), array([[0.07092791, 0.35020511, 1.40417993]])]",0.46178446948641133,0.8367346938775511,0.3715002066257779,0.7885714173316956,0.46488556265830994,0.8600000143051147,0.4283573627471924
5,0,[0.30739866 6.98176666 0.86139618],0.4360859692897567,0.82,0.3768787384225465,[0.85648156 0.30075173],0.4881808151071534,0.76,0.5200176147830442,"[array([1.18343802]), array([[0.19976686, 0.39590757, 1.43080008]])]",0.44903800171749125,0.7755102040816326,0.4827276701441104,0.7971428632736206,0.443014532327652,0.8399999737739563,0.4654385447502136
6,0,[0.32145227 7.23246103 0.98494465],0.4361851248200193,0.8,0.39909449453436835,[0.86916027 0.30370831],0.4760207646546392,0.74,0.5880571473778955,"[array([1.25066091]), array([[0.35748943, 0.44182971, 1.41068419]])]",0.43775522999344424,0.7551020408163265,0.5316218443733743,0.8114285469055176,0.43199819326400757,0.7400000095367432,0.591271162033081
7,0,[0.35634105 6.29759968 1.        ],0.4545824553507214,0.84,0.29333434428172944,[0.83412334 0.29710142],0.5127153341918974,0.88,0.3324971942056179,"[array([1.17015723]), array([[0.02442928, 0.24986199, 1.45038064]])]",0.47129730800429187,0.8979591836734694,0.3015826714383041,0.7942857146263123,0.471957266330719,0.8600000143051147,0.3397182524204254
8,1,[ 0.11855824 10.          1.        ],0.48247347811962327,0.7,0.5663379224376484,[0.76063835 0.34161485],0.5929594446417142,0.58,0.7037408291342458,"[array([0.75921933]), array([[0.00694856, 0.46440894, 0.94108562]])]",0.5686999190968939,0.5918367346938775,0.686234870552773,0.7571428418159485,0.5161675810813904,0.5799999833106995,0.6704942584037781
9,1,[ 0.11081896 10.          1.        ],0.48208227014962085,0.56,0.6541183754485176,[0.77717394 0.30909085],0.5723694072178868,0.46,0.8514647817875297,"[array([0.81653396]), array([[0.02693902, 0.79459633, 0.84234238]])]",0.5440387793832243,0.4489795918367347,0.8827610953956235,0.7685714364051819,0.504724383354187,0.5799999833106995,0.7168974280357361
10,1,[ 0.12467858 10.          0.85632689],0.5076231713775364,0.86,0.29838595111408833,[0.72043015 0.36196316],0.6217047770340803,0.82,0.48694195293323345,"[array([0.62448142]), array([[-0.04287129,  0.46980562,  0.83759294]])]",0.5991108728081725,0.7755102040816326,0.4699359842704281,0.7314285635948181,0.549481987953186,0.8199999928474426,0.4436732530593872
11,1,[ 0.13083356 10.          0.84855269],0.4410124818812227,0.84,0.49091547770752947,[0.75806454 0.37423307],0.6039364342004905,0.74,0.6038431221699068,"[array([0.67819595]), array([[0.22988572, 0.5861198 , 0.81237599]])]",0.5805463382881726,0.7346938775510204,0.5740767546165844,0.7400000095367432,0.4999517500400543,0.8199999928474426,0.4881175756454468
